Spingarn Medal 	स्पिनगार्न मेडल 
Maharani Jhansi 	महारानी झाँसी 
Saheb Biwi Aur Gulam 	साहब बीवी और गुलाम 
Khoon Ki Takkar 	खून की टक्कर 
Beverly Sills 	बिवर्ले सिल्स 
Abdul haakim 	अब्दुल हाकिम 
Bandhan Kachchey Dhagon Ka 	बंधन कच्चे धागों का 
Bir Bikrom 	बीर बिक्रोम 
Wood Buffalo 	वूड बफेलो 
Abdul maalik 	अब्दुल मालिक 
Duncan Fletcher 	डंकन फ्लेचर 
Salam Bombay 	सलाम बॉम्बे 
Grammy Hall of Fame Award 	ग्रैमी हॉल ऑफ फेम अवार्ड 
Monde Zondeki 	मोंडे ज़ोंडेकी 
Saint Francis D'Assisi High School 	सेंट फ्रांसिस ड‍िअस‍ीसी हाई स्कूल 
Taka Bone Rate 	टाका बोने रेट 
Isi Ka Naam Duniya Hai 	इसी का नाम दुनिया है 
Fort ellice 	फोर्ट एलिस 
Aanchal Ke Phool 	आँचल के फूल 
Do Thug 	दो ठग 
Palma de Mallorca 	प्लामा डे मल्लोर्का 
Great Britain 	ग्रेट ब्रिटेन 
Tu Nagin Main Sapera 	तू नागिन मैं सपेरा 
Siddhamalli Reservoir 	सिद्धामली रिज़रवायर 
Vic Pollard 	विक पोलार्ड 
SAP India 	सैप इंडिया 
Naqli Nawab 	नकली नवाब 
Hum Intezaar Karenge 	हम इंतज़ार करेंगे 
Damien Martyn 	डेमिन मार्टिन 
Fort delaware 	फोर्ट डेलावेयर 
Kahani Ek Chor Ki 	कहानी एक चोर की 
Hashim Amla 	हाशिम अम्ला 
Linganamakki Dam 	लिंगनमक्की डैम 
Gurudwara Makka Madina 	गुरूद्वारा मक्का मदीना 
Nar Narayan 	नर नारायण 
Pyasi Nigahen 	प्यासी निगाहें 
Progressive Baptist 	प्रोगेसिव बैपटिस्ट 
Hum Sub Ustad Hain 	हम सब उस्ताद हैं 
Gurudwara Tahliana Sahib 	गुरूद्वारा टाहलीआणा साहिब 
Fort worden 	फोर्ट वॉर्डन 
Order of Christ 	ऑडर ऑफ क्राइस्ट 
Jacques Kallis 	जैक्वेस कैलिस 
Gurudwara Fatihgarh Sahib 	गुरूद्वारा फतिहगढ़ साहिब 
Major League Lacrosse Most Improved Player of the Year Award 	मेजर लीग लैक्रोस मोस्ट इम्प्रूव्ड प्लेयर ऑफ द ईयर अवार्ड 
Kal Kya Hoga 	कल क्या होगा 
Jawani Ki Bhool 	जवानी की भूल 
Fort cartwright 	फोर्ट कार्टराइट 
Amadeus Mozart 	एमॅड्यूस मोज़ार्ट 
Baap Beti 	बाप बेटी 
Anokhi Ada 	अनोखी अदा 
Mike Whitney 	माइक व्हिटने 
Debu Chaudury 	देबू चौधरी 
Fort nathan hale 	फोर्ट नैथन हेल 
Precision Valley Corvette Museum 	प्रिस‍िज़न वैली कॉरवेट म्युज़ियम 
War of the Second Coalition 	वार ऑफ द सेकंड कॉलिशन 
Abdul hakeem 	अब्दुल हकीम 
Sri Adhikari 	श्री अधिकारी 
Order of Industrial Merit 	ऑडर ऑफ इंडस्ट्रियल मेरिट 
Barry Unsworth 	बेरी अनसोर्थ 
Robert Wagner 	रॉबर्ट वॅगनर 
Kiski Jeet 	किसकी जीत 
Magna International 	मैग्ना इंटरनेशनल 
Mithi Nazar 	मीठी नज़र 
Teri Kasam 	तेरी कसम 
Indika de Saram 	इंडिका डे सारम 
Rhode Island 	रॉड आइलैंड 
Brad Hodge 	ब्रैड हॉज 
Vembakottai Reservoir 	वेम्बकोत्ताई रिज़रवायर 
Shah E Iran 	शाह ए ईरान 
Internet Gold Golden Lines 	इंटरनेट गोल्ड गोल्डन लाइन्स 
Andy Lloyd 	एण्डी लॉएड 
Lynn Canyon Suspension 	ल्येन कॅन्योन सस्पेंशन 
Gurudwara Nanakmata 	गुरूद्वारा नानकमता 
Paise Ki Gudiya 	पैसे की गुड़िया 
Man Industries 	महिंद्रा इंडस्ट्रीज़ 
Aaj Ki Duniya 	आज की दुनिया 
Madam Zapatta 	मैडम ज़पाट्टा 
Hilton Group 	हिल्टन ग्रुप 
Raja Gopichand 	राजा गोपीचंद 
Kahf Hoti 	काफ़ होटी 
Premio Camoes 	प्रेमियो कैमोस 
Abdul basir 	अब्दुल बसीर 
Abdul basit 	अब्दुल बासित 
Gurudwara Bhatta Sahib 	गुरूद्वारा भट्टा साहिब 
Pet Pyar Aur Paap 	पेट प्यार और पाप 
Tum Par Hum Quarban 	तुम पर हम क़ुर्बान 
Balrampur Chini 	बलरामपुर चीनी 
University of Keele 	यूनिवर्सिटी ऑफ कीले 
Khoon Khoon 	खून खून 
Naya Daur 	नया दौर 
Ernest Hemingway 	अर्नेस्ट हेमिंग्वे 
Satish Gujral 	स‍तीश गुजराल 
Nottingham East Midlands 	नॉटिंगहॅम ईस्ट मिडलैंड्‍स 
Maar Dhaad 	मार धाड़ 
Mohammad Zahid 	मोहम्मद ज़ाहिद 
Sanyo Electric 	सैन्यो इलेक्ट्रिक 
Apna Paraya 	अपना पराया 
Fort carroll 	फोर्ट कैरॉल 
Order of Nakhimov 	ऑडर ऑफ नखीमोव 
Golden Temple 	गोल्डन टेम्पल 
Duniya Gol Hai 	दुनिया गोल है 
Gomantak times 	गोमंतक टाइम्स 
Alstom Projects 	आल्सटॉम प्रोजेक्ट्स 
Groupe Auchan 	ग्रुप ऑचन 
Anokha Daan 	अनोखा दान 
Hindustan Motors 	हिंदुस्तान मोटर्स 
Sur gaayak 	सुर गायक 
Abdul wadood 	अब्दुल वदूद 
Insaaf Ki Awaz 	इंसाफ की आवाज़ 
Rashk E Laila 	रश्क ए लैला 
Ricardo Powell 	रिकार्डो पॉवेल 
Aag Aandhi Aur Toofan 	आग आँधी और तूफान 
Alvin Kallicharran 	एल्विन कालीचरन 
Grah Laxmi 	गृह लक्ष्मी 
General Electric 	जनरल इलेक्ट्रिक 
Dulip Samaraweera 	दुलीप सामरावीरा 
Jism Ka Rishtaa 	जिस्म का रिश्ता 
Nevado de Colima 	नेव्हाडो डी कोलीमा 
Mark Burgess 	मार्क बर्गेस 
Ashish Kapoor 	आशीष कपूर 
Bwindi Impenetrable 	बीविंडी इम्पेनिट्रेबल 
Ghar Parau 	घर परेयु 
Sorrento 1 	सॉरेन्टो 1 
Pambar Reservoir 	पम्बर रिज़रवायर 
Madan Lal 	मदन लाल 
Kumkum The Dancer 	कुमकुम द डांसर 
Sati Narmada 	सती नर्मदा 
Mana Pools 	माना पूल्स 
Cedar Mill Bible 	केडार मिल बायबल 
Bandhan Bahon Ka 	बंधन बाँहों का 
Manzil Manzil 	मंज़िल मंज़िल 
Indra Sabha 	इंद्र सभा 
Bade Bhaiya 	बड़े भइया 
Aage Ki Soch 	आगे की सोच 
Oswald Veblen Prize in Geometry 	ऑसवल्ड वेब्लेन प्राइज़ इन ज्योमेट्री 
Willie Brown 	विली ब्राउन 
Miss Manorama 	मिस मनोरमा 
San Saba 	सैन साबा 
Yohan Goonasekera 	योहन गूरसेकरा 
Prickett's fort 	प्रिकेट्‍स फोर्ट 
Kinare Kinare 	किनारे किनारे 
Anglo-French War 	एंग्लो-फ्रेंच वार 
Kanoon Ki Awaaz 	कानून की आवाज़ 
Arthur haley 	आर्थर हॅले 
Kris Srikkanth 	क्रिस श्रीकांत 
Ashish Nehra 	आशीष नेहरा 
United Kingdom 	यूनाइटेड किंगडम 
Gulf Islands 	गल्फ आयलैंड 
Batala Junction 	बटाला जंक्शन 
Tata Tea 	टाटा टी 
Jo Angel 	जॉ एंजेल 
Sati Nagkanaya 	सती नागकन्या 
Aadmi Sadak Ka 	आदमी सड़क का 
Agni Sakshi 	अग्नि साक्षी 
Nayan Mongia 	नयन मोंगिया 
Aaj Ki Taza Khabar 	आज की ताज़ा खबर 
Andheri Raat Mein Diya Tere Hath Mein 	अंधेरी रात में दिया तेरे हाथ में 
Vijay Bharadwaj 	विजय भारद्वाज 
Aakhri Kasam 	आखिरी कसम 
Pahadi Nagin 	पहाड़ी नागिन 
Thoppaiyar Reservoir 	थोपइयर रिज़रवायर 
Shankar Khan 	शंकर खान 
North East Land 	नॉर्थ इस्ट लैंड 
Wade Seccombe 	वेड सेकॉम्ब 
Jai Hanuman 	जय हनुमान 
Dartmouth fort 	डार्टमाउथ फोर्ट 
Ganga Ki Lehren 	गंगा की लहरें 
Demi Moore 	डेमी मूर 
Order of Courage 	ऑडर ऑफ करेज 
James Hopes 	जेम्स होप्स 
Anura Tennekoon 	अनुरा टेनेकून 
Andy Flower 	एण्डी फ्लार 
Fernado de Noronha Marine 	फर्नेंडो डी नॉरोन्हा मरीन 
Stele Forest Museum 	स्टेल फॉरेस्ट म्युज़ियम 
Gola Gokaranath 	गोला गोकरनाथ 
Order of the White Lion 	ऑडर ऑफ़ द व्हाइट लायन 
Malati Madhav 	मालती माधव 
Hanuman Chalisa 	हनुमान चालीसा 
Craig Cumming 	क्रेग क्युमिंग 
Orange Prize for Fiction 	ऑरेंज प्राइज़ फॉर फिक्शन 
Winston Benjamin 	विंस्टन बेंजामिन 
Gavin Briant 	गेविन ब्रायंट 
Chennai Petro 	चेन्नई पेट्रो 
Insaaf Ki Pukar 	इंसाफ की पुकार 
Matt Prior 	मैट प्रायर 
John Tash 	जॉन टॅश 
National Transport Museum of Ireland 	नेशनल ट्रांसपोर्ट म्युज़ियम ऑफ आयरलैंड 
Kunwara Baap 	कुँवारा बाप 
Phaansi Ke Baad 	फाँसी के बाद 
Faoud Bacchus 	फॉड बैचुस 
Hamen Khelne Do 	हमें खेलने दो 
Prem Sangeet 	प्रेम संगीत 
David Brain 	डेविड ब्रेन 
Strait of Hormuz 	स्ट्रेट ऑफ होरमज़ 
Suryanar Koil 	सूर्यानार कोयील 
Osaka World Trade Center 	ओसाका वर्ल्ड ट्रेड सेन्टर 
Hind Constr 	हिंद कंसट्रक्शन 
Tchernichovsky Prize 	चेर्निकोवस्की प्राइज़ 
Bhedi Lutera 	भेदी लुटेरा 
Kan Kan Men Bhagwan 	कण कण में भगवान 
Jai Mahalaxmi Maa 	जय महालक्ष्मी माँ 
Gary Kirsten 	गैरी किर्स्टन 
Abdul afuw 	अब्दुल अफुव 
Bade Sarkar 	बड़े सरकार 
Peechha Karoo 	पीछा करूँ 
Isle of wight 	आइसल ऑफ विट 
University of Sheffield 	यूनिवर्सिटी ऑफ शेफफील्ड 
Sajjad Akbar 	सज्जाद अकबर 
Pankaj Dharmani 	पंकज धरमानी 
Andy Bichel 	एण्डी बिचेल 
Gharwali Baharwali 	घरवाली बाहरवाली 
Waste Management 	वेस्ट मैनेजमेंट 
Mohammad Salim 	मोहम्मद सलीम 
Manu The Great 	मनु द ग्रेट 
Lal Bujhakkad 	लाल बुझक्कड़ 
Alan Dawson 	ऐलन डॉसन 
Shalimar Paints 	शालीमार पेंट्स 
Aaj Ke Angaarey 	आज के अँगारे 
Naag Nagin 	नाग नागिन 
Major League Lacrosse Defensive player of the Year Award 	मेजर लीग लैक्रोस डिफेंसिव प्लेयर ऑफ द ईयर अवार्ड 
Andros Maritime Museum 	एण्ड्रॉस मैर‍िटाइम म्युज़ियम 
Pick Pocket 	पिक पॉकेट 
Char Din 	चार दिन 
Willingdon Reservoir 	विलिंगडन रिज़रवायर 
Magic Johnson 	मैजिक जॉनसन 
Basketball Hall of Fame 	बास्केटबॉल हॉल ऑफ फेम 
Franz Haniel 	फ़्रांज़ हेनीयल 
World Championships in Biathlon 	वर्ल्ड चैंपियनशिप इन बैथलन 
Iron Cross 	आइरन क्रॉस 
Shah E Misar 	शाह ए मिसर 
Albela Mastana 	अलबेला मस्ताना 
Balika Badhu 	बालिका बधू 
Sadagoppan Ramesh 	सदागोप्पन रमेश 
Richard Webb 	रिचर्ड वेब 
Ian Bradshaw 	इआन ब्रेडशॉ 
Anthony Ireland 	एंथनी आयरलैंड 
Sigmund Freud 	सिगमंड फ़्रुड 
Bhogpur Sirwal 	भोगपुर सरवल 
Ashley de Silva 	ऐश्ले डे सिल्वा 
Barchi Road 	बारची रोड 
Mil Gai Manzil Mujhe 	मिल गई मंजिल मुझे 
Stuart Carlisle 	स्टुअर्ट कार्लिस्ले 
Peter Ueberroth 	पीटर युबेरोथ 
Jwaharlal nehru University india 	जवाहरलाल नेहरु यूनिवर्सिटी इंडिया 
Erzherzog Karl 	अर्ज़रज़ोग कार्ल 
Federal Bank 	फ़ेडेरल बैंक 
Robert Laughlin 	रॉबर्ट लाफलिन 
Fort de kock 	फोर्ट डे कॉक 
Block Island 	ब्लॉक आइलैंड 
English tango 	इंग्लिश टैंगो 
Himalay Ki God Mein 	हिमालय की गोद में 
Steele Prize 	स्टील प्राइज़ 
Gurudwara Kareer Sahib 	गुरूद्वारा करीर साहिब 
Yaar Kasam 	यार कसम 
Amritlal nagar 	अमृतलाल नागर 
Behram Khan 	बेहराम खान 
Kurfurst Friedrich Wilhelm 	कर्फस्ट फ्रेडरिक विल्हेम 
Derek Pringle 	डेरेक प्रिंगल 
British Book Awards 	ब्रिटिश बुक अवार्ड्‍स 
Francesco Caracciolo 	फ्रांसेस्को केरासिओलो 
Miss Frontier Mail 	मिस फ्रंटियर मेल 
Greg Thomas 	ग्रेग थॉमस 
Veer Bhimsen 	वीर भीमसेन 
Naya Kadam 	नया कदम 
State Tower 	स्टेट टॉवर 
Tipper Gore 	टिपर गोर 
Andrew Jones 	एण्ड्रयू जोंस 
Bob Woolmer 	बॉब वूल्मर 
Asli Naqli 	असली नकली 
The humber forts 	द हंबर फोर्ट्‍स 
Neera Aur Nanda 	नीरा और नंदा 
Adam Bacher 	ऐडम बैचर 
Tom Cruise 	टॉम क्रुज़ 
Sant Kabir 	संत कबीर 
Saat Samunder Paar 	सात समुंदर पार 
Abdul wasi 	अब्दुल वसी 
Nartaki Chitra 	नर्तकी चित्र 
Rallis India 	रैलिस इंडिया 
Sati Anjani 	सती अंजनी 
Bhuvaneswari Hindu 	भुवनेस्वरी हिन्दू 
Allahabad City 	अलाहाबाद सिटी 
John von Neumann Theory Prize 	जॉन वॉन न्युमेन थ्योरी प्राइज़ 
Order of the Golden Fleece 	ऑडर ऑफ द गोल्डन फ्लीस 
Saint Louis 	सेंट लुइस 
Bhai Jaan 	भाई जान 
Saint John's High School, Chandigarh 	सेंट जॉन्‍स हाई स्कूल, चंडीगढ़ 
University of East London 	यूनिवर्सिटी ऑफ ईस्ट लंडन 
John Carson 	जॉन कार्सन 
Burbara Bush 	बारबरा बुश 
Gurudwara Thanda Burj 	गुरूद्वारा ठंडा बुर्ज 
Los Marmoles 	लॉस मार्मोल्स 
Phansi Ka Phanda 	फाँसी का फंदा 
Jammu and Kashmir 	जम्मू एण्ड कश्मीर 
Chris Gayle 	क्रिस गेल 
High Island Reservoir 	हाई आइलैंड रिज़रवायर 
Lychnostatis Open-air Museum 	ल‍िक्नोस्टेट‍िस ओपन-एयर म्युज़ियम 
Daku Mansoor 	डाकू मंसूर 
Phir Janam Lenge Hum 	फिर जनम लेंगे हम 
Mark Ramprakash 	मार्क रामप्रकाश 
Tarzan And Cobra 	टार्ज़न एण्ड कोबरा 
Ron Headley 	रॉन हेडले 
Tewaaraton Trophy 	टेवारटन ट्रॉफी 
China TechFaith Wireless Communication Technology Limited 	चाइना टेकफ़ेथ वायरलेस कम्युनिकेशन टेक्नोलॉजी लिमिटेड 
Summerside United Methodist 	समरसाइड यूनाइटेड मेथोडिस्ट 
Satah Se Uthata Adami 	सतह से उठता आदमी 
Suresh Raina 	सुरेश रायना 
Darbhanga Junction 	दरभंगा जंक्शन 
Bryan Strang 	ब्रायन स्ट्रेंग 
Abdur rashid 	अब्दुर रशीद 
Ayatollah Khomeini 	अयातुल्लाह खोमेनी 
Delta Galil Industries 	डेल्टा गलिल इंडस्ट्रीज़ 
Fort ethan allen 	फोर्ट एथन ऐलन 
Prem Pujari 	प्रेम पुजारी 
Landguard fort 	लैंडगार्ड फोर्ट 
David Gower 	डेविड गॉवर 
Munich Re Group 	मुनिच री ग्रुप 
Margo Caribe 	मार्गो कैरिब 
Memorial Baptist 	मेमोरियल बैपटिस्ट 
The afternoon 	द आफ्टरनून 
Ganga Mang Rahi Balidan 	गंगा माँग रही बलिदान 
Redoute de tallaert 	रिडाउट डे टैलार्ट 
Ram Balram 	राम बलराम 
Bensonvale Covenant 	बेनसोन्व्हले कॉन्व्हेन्ट 
The British School, New Delhi 	द ब्रिटिश स्कूल, न्यू डेल्ही 
Anou Timedouine 	अनाउ टाइमडोयून 
Seth Mukand Lal Inter College, Ghaziabad 	सेठ मुकुंद लाल इंटर कॉलेज, गाज़ियाबाद 
Whitney Museum of American Art 	व्ह‍िटनी म्युज़ियम ऑफ अमेर‍िकन आर्ट 
Mangla Gauri 	मंगला गौरी 
George Harrison 	जॉर्ज हैरिसन 
Zahoor Elahi 	ज़हूर इलाही 
Abdul khaleeq 	अब्दुल खलीक 
Lower Nirar Reservoir 	लोवर निरार रिज़रवायर 
Zaporizhian sich 	ज़ैपोरीज़िआन सिच 
Crescent City 	क्रेसेंट सिटी 
Khamosh Sipahi 	खामोश सिपाही 
Echo Mountain 	ईको माउंटन 
The drawing center 	द ड्रॉइंग सेंटर 
Milton Small 	मिल्टन स्मॉल 
Aag Aur Shola 	आग और शोला 
Laheri Lala 	लहरी लाला 
Hayo del Aire 	हेयो डेल आइरी 
George Lucas 	जॉर्ज लुकास 
Indra Leela 	इंद्र लीला 
Carmel Convent School, Chandigarh 	कारमेल कॉन्‍वेंट स्कूल, चंडीगढ़ 
Fort le vieux 	फोर्ट ले व्युक्स 
Jane Fonda 	जेन फ़ोंडा 
Achcha Bura 	अच्छा बुरा 
Do Matwale 	दो मतवाले 
Ram Rajya 	राम राज्य 
Rayban Sun 	रेबन सन 
Chanda Fort 	चंदा फोर्ट 
Dale Benkenstein 	डेल बेन्कनस्टीन 
Carl Cachopa 	कार्ल केचोपा 
Mujhe Shakti Do 	मुझे शक्ति दो 
Himalay Ki Beti 	हिमालय की बेटी 
Topeka Bible 	टोपेका बायबल 
Cronos Group 	क्रॉनोस ग्रुप 
Ian Smith 	इआन स्मिथ 
Yeh Woh Manzil To Nahin 	ये वो मंज़िल तो नहीं 
Gurudwara Likhansar 	गुरूद्वारा लिखणसार 
Chandni Raat 	चाँदनी रात 
Sierra San Pedro Martir 	सिर्रा सैन पेड्रो मार्टिर 
University of Adelaide 	यूनिवर्सिटी ऑफ एडेलेड 
Al-Faisaliah Center 	अल-फैसलीअह सेन्टर 
Dak Babu 	डाक बाबू 
Bombay Masjid 	बॉम्बे मस्जिद 
Hamara Watan 	हमारा वतन 
Electricite De France 	इलेक्ट्रीसाइट डी फ़्रांस 
Draupadi Vastra Haran 	द्रौपदी वस्त्र हरण 
Aansoo Aur Muskan 	आँसू और मुस्कान 
Shafiuddin Ahmed 	शफीउद्दीन अहमद 
Rameez Raja 	रमीज़ राजा 
Sanjay Raul 	संजय राउल 
Kutte Ki Kahani 	कुत्ते की कहानी 
Abdul hadi 	अब्दुल हदी 
Nordea Bank 	नोर्डिया बैंक 
Naya Ghar 	नया घर 
Bhed Bhav 	भेद भाव 
Lalchand Rajput 	लालचंद राजपूत 
Abdul muid 	अब्दुल मुईद 
Desmond Haynes 	डेस्मंड हेन्स 
Asif Mohammad 	आसिफ मोहम्मद 
Pearson Medal of Peace 	पीयरसन मेडल ऑफ पीस 
Star of mysore 	स्टार ऑफ मैसूर 
Novamerican Steel 	नोवामेरिकन स्टील 
Romesh Bhandari 	रोमेश भंडारी 
Kelavarapalli Reservoir 	केलावरापल्ली रिज़रवायर 
Sai Baba of Shirdi 	सांई बाबा ऑफ शिर्डी 
Hua Savera 	हुआ सवेरा 
Subex Systems 	सुबेक्स सिस्टम्स 
Sant Tukaram 	संत तुकाराम 
Khoon Kharaba 	खून खराबा 
Anthony Stuart 	एंथनी स्टुआर्ट 
Kahani Hum Sab Ki 	कहानी हम सब की 
Ian Bishop 	इआन बिशप 
Brick Schoolhouse Museum 	ब्रिक स्कूलहाउस म्युज़ियम 
Schiller Prize 	शिलर प्राइज़ 
Shaw Prize 	शॉ प्राइज़ 
Lasker Award 	लास्कर अवार्ड 
Ann Landers 	एन लैंडर्स 
Dekha Jayega 	देखा जाएगा 
Mitsubishi Tokyo Financial Group 	मित्सुबिशी टोक्यो फ़ाइनेंशियल ग्रुप 
University of Gloucestershire 	यूनिवर्सिटी ऑफ ग्लॉसेस्टरशायर 
Wilf Slack 	विल्फ स्लैक 
Dil Ki Rahen 	दिल की राहें 
Satte Pe Satta 	सत्ते पे सत्ता 
Bartaman patrika 	बर्तमान पत्रिका 
Bhagam Bhag 	भागम भाग 
Abdul mani 	अब्दुल मनी 
Aamer Sohail 	आमेर सोहेल 
Order of the National Coat of Arms 	ऑडर ऑफ द नेशनल कोट ऑफ आर्म्‍स 
Patthar Ka Khwab 	पत्थर का ख्वाब 
Canaan Presbyterian 	कॉनान प्रेस्बिटेरिटन 
Fort independence 	फोर्ट इंडिपेंडेन्स 
Chand Ki Duniya 	चाँद की दुनिया 
Bir Protik 	बीर प्रोतीक 
Dudhia Khurd 	दूधिया खुर्द 
Albert Gore 	अल्बर्ट गोर 
Prabath Nissanka 	प्रभाथ निस्संका 
Whoopi Goldberg 	व्हूपी गोल्डबर्ग 
Fort clark 	फोर्ट क्लार्क 
Nai Zindagi 	नई ज़िंदगी 
Turner Prize 	टर्नर प्राइज़ 
Iqbal Sikander 	इकबाल सिकन्दर 
Patni Computer 	पटनी कम्प्यूटर्स 
Abdur rahman 	अब्दुर रहमान 
Alpine Skiing World Cup 	एल्पाइन स्कीइंग वर्ल्ड कप 
Steve Waugh 	स्टीव वॉ 
Bahadur Daku 	बहादुर डाकू 
Shanghai Baosteel Group 	शंघाई बाओस्टील ग्रुप 
Rajput Ramani 	राजपूत रमणी 
Prem Sandesh 	प्रेम संदेश 
Manjural Islam Rana 	मंजुरल इस्लाम राणा 
Country western two-step 	कंट्री वेस्टर्न टू-स्टेप 
Sesa Goa 	सेसा गोवा 
The Japan Prize 	द जापान प्राइज़ 
National Art Gallery and Alexandros Soutzos Museum 	नेशनल आर्ट गैलरी एण्ड एलेक्ज़ैंड्रस सुज़ॉस म्युज़ियम 
Elron Electronic Industries 	एलरॉन इलेक्ट्रॉनिक इंडस्ट्रीज़ 
Agent Vinod 	एजेंट विनोद 
Svenska Akademins nordiska pris 	स्वेंस्का एकाडेमिंस नॉरडिस्का प्रिस 
Peter Taylor 	पीटर टेलर 
New Springs Christian 	न्यू स्प्रिंग्स क्रिश्चियन 
Sim Sim Marjina 	सिम सिम मर्जीना 
Chhora Chhori 	छोरा छोरी 
The Broads 	द ब्रॉड्स 
Priestley Medal 	प्रीस्टले मेडल 
Global Trust Bank 	ग्लोबल ट्रस्ट बैंक 
John Dyson 	जॉन डायसन 
Door Gagan Ki Chhaon Mein 	दूर गगन की छाँव में 
Christ the King Lutheran 	क्रिस्ट दी किंग लुथेरान 
Kato Kaelin 	किट्टी कैली 
Aur Pyar Ho Gaya 	और प्यार हो गया 
Everton Mattis 	एवर्टन मैटिस 
Rokeby Museum 	रोकबाय म्युज़ियम 
British Airways 	ब्रिटिश एयरवेज़ 
Dougie Brown 	डग ब्राउन 
Canada Southern Petroleum 	कनाडा साउदर्न पेट्रोलियम 
Robert Downing Junior 	रॉबर्ट डाउनिंग ज्युनियर 
Dronachellam Junction 	द्रोनाकेलम जंक्शन 
NET Servicos de Comunicacao 	नेट सर्विकोज़ डी कम्युनिकाकेओ 
Wasim Jaffer 	वसीम जाफर 
Dominic Cork 	डॉमिनिक कॉर्क 
Gurudwara Omkareshwar 	गुरूद्वारा ओंकारेशवर 
Charno Ki Saughandh 	चरणों की सौगंध 
George Pack 	जॉर्ज पैक 
Meri Surat Teri Ankhen 	मेरी सूरत तेरी आँखें 
Farokh Engineer 	फारोख इंजीनियर 
Beesvi Sadi 	बीसवी सदी 
Yeshiva University Museum 	येश‍िवा युन‍िवर्स‍िटी म्युज़ियम 
Baaz Bahadur 	बाज़ बहादुर 
Guru granth sahib 	गुरू ग्रंथ साहिब 
Alfred Tennison 	अल्फ़्रेड टेनीसन 
Kevin Costner 	केविन कॉस्टनर 
Jeevan Prabhat 	जीवन प्रभात 
Sarovar Park 	सरोवर पार्क 
Harunur Rashid 	हरुनर रशीद 
Gop Jam 	गोप जाम 
Andha Intequam 	अंधा इंतेक़ाम 
Chorvad Road 	चोरवड़ रोड 
Shahriar Nafees 	शहरियार नफीस 
Dil Bhi Tera Hum Bhi Tere 	दिल भी तेरा हम भी तेरे 
Russell Krovi 	रसेल क्रोवी 
Geoff Howarth 	जिऑफ हॉवर्थ 
Fort point 	फोर्ट पॉइंट 
Vijaya High School, Jayanagar, Bangalore 	विद्या हाई स्कूल, जयनगर, बैंगलोर 
Ernesettle fort 	अर्नसेटल फोर्ट 
Randgold Resources Limited 	रैंडगोल्ड रिसोर्सेज़ लिमिटेड 
Salahuddin Ahmed 	सलाहुद्दीन अहमद 
Grey art Gallery 	ग्रे आर्ट गैलरी 
Naya Paisa 	नया पैसा 
Light House 	लाइट हाउस 
Saman Jayantha 	समन जयंथा 
Alan Connolly 	एलन कॉनोली 
University of Bournemouth 	यूनिवर्सिटी ऑफ बॉर्नमाउथ 
Geeta Ki Saugandh 	गीता की सौगंध 
Justin Kemp 	जस्टिन केंप 
Kaun Kitney Pani Mein 	कौन कितने पानी में 
Kar Bhala 	कर भला 
Nawab Sirazuddaula 	नवाब सिराज़ुद्‍दौला 
Mary Antoinette 	मेरी एंटॉइनेट 
Sasti Dulhan Mahenga Doolha 	सस्ती दुल्हन महँगा दुल्हा 
Ek Se Bhale Do 	एक से भले दो 
Bhusaval Junction 	भुसावल जंक्शन 
Birur Junction 	बिरुर जंक्शन 
Alexander Agassiz Medal 	अलेक्ज़ेंडर अगासीज़ मेडल 
Kyle Mills 	काइल मिल्स 
Municipal Gallery of Corfu 	म्युन‍िस‍िपल गैलरी ऑफ कोरफू 
Clive Rice 	क्लाइव राइस 
Chhori Gaon Ki 	छोरी गाँव की 
Captain Sheroo 	कैप्टन शेरू 
Coca-Cola India 	कोका-कोला इंडिया 
Nippon Oil 	निप्पॉन ऑइल 
Maa Kasam Badla Loonga 	माँ कसम बदला लूँगा 
European Figure skating Champions 	युरोपियन फिगर स्केटिंग चैंपियन्स 
Scout Camp 	स्काउट कैंप 
Rani Sahiba 	रानी साहिबा 
Lal Patthar 	लाल पत्थर 
La Bela 	ला बेला 
Shane Warne 	शेन वार्न 
Bruce Yardley 	ब्रूस यार्डले 
Baba Fakruddin 	बाबा फकरूद्दीन 
Bob Taylor 	बॉब टेलर 
Royal Ontario Museum 	रॉयल ऑन्टार‍ियो म्युज़ियम 
Aaj Ke Shahanshah 	आज के शहँशाह 
Varadamanadhi Reservoir 	वरदामनधी रिज़रवायर 
Ambala City 	अम्बाला सिटी 
George Carlin 	जॉर्ज कार्लिन 
Central Bank 	सेंट्रल बैंक 
Khooni Kaun 	खूनी कौन 
Spathareion Museum of the Shadow Theatre 	स्पाथेर‍ियन म्युज़ियम ऑफ द शैडो थ‍िएटर 
Glenn Turner 	ग्लेन टर्नर 
Christopher Marlowe 	क्रिस्टोफ़र मारलो 
Vijay Yadav 	विजय यादव 
Mahajana High School 	महाजन हाई स्कूल 
Hemantha Wickramaratne 	हेमंथा विक्रमारत्ने 
Kali Raat 	काली रात 
Keith Arthurton 	कैथ अर्थर्टन 
James Laughlin Award 	जेम्स लॉफलिन अवार्ड 
Aakhri Nishchay 	आखिरी निश्चय 
Abdul qadeer 	अब्दुल कदीर 
Chhota Gudha 	छोटा गुधा 
Zsa zsa 	ज़ा ज़ा 
Larry King 	लैरी किंग 
Baghi Sardar 	बागी सरदार 
