Hajgiri	ஹாஜ்கிரி
Oceana	ஓஷியானா
Danapur	தானாபூர்
Margo	மார்கோ
Caribe	காரிப்
Ramdoot	ராம்தூத்
Viviana	விவியன்னா
Borivali	போரிவாலி
Anumati	அனுமதி
Kutte	குட்டெ
Ki	கி
Kahani	கஹானி
Rakesh	ராகேஷ்
Jajj	ஜாஜ்
Ek	ஏக்
Paheli	பஹேலி
Abdus	அப்துஸ்
sami	சமி
Nibodh	நிபோத்
Rahila	ரஹிலா
The	த
British	பிரிட்டிஷ்
School,	ஸ்கூல்,
New	நியூ
Delhi	டெல்லி
Lethia	லெதியா
Nripesh	ந்ரிபேஷ்
Akalmand	அகல்மந்த்
Jungle	ஜங்கிள்
King	கிங்
Bholi	போலி
Nan	நன்
Rahat	ரஹத்
Swaraj	ஸ்வராஜ்
Engines	இன்ஜின்ஸ்
Mangla	மங்கல
Gauri	கௌரி
Anisur	அனிசுர்
Rahman	ரஹ்மான்
Meri	மேரி
Bhool	பூள்
Rijuta	ரிஜ்ஜூதா
Radium	ரேடியம்
Dujanah	டுஜானா
Jogging	ஜாக்கிங்
Haytham	ஹய்தம்
Zaporizhian	ஸாபோரிஸியான்
sich	ஸிச்
Chars	சார்ஸ்
Yusra	யுஸ்ரா
Khamosh	காமோஷ்
Sipahi	சிபாஹி
Mudra	முத்ரா
Prasad	பிரசாத்
Timila	திமிலா
Aag	ஆக்
Aur	அவுர்
Shola	ஷோலா
Laheri	லஹெரி
Lala	லாலா
Osaka	ஒசாக்கா
Burmah	பர்மா
Road	ரோட்
George	ஜார்ஜ்
Lucas	லூகாஸ்
Keoladeo	கியோலாடியோ
Ghana	கானா
Anbar	அன்பர்
Eltek	எல்டெக்
Akhtiyar	அக்தியர்
Carmel	கார்மெல்
Convent	கான்வெண்ட்
School,	ஸ்கூல்,
Chandigarh	சண்டிகர்
Jainarayan	ஜெய்நாராயண்
Danske	டான்ஸ்கே
Bank	பேங்க்
Group	குரூப்
Malaga	மலாகா
Ipsa	இப்ஸா
Abdul	அப்துல்
gaffar	காஃபார்
Abdur	அப்துர்
Razzak	ராஸ்ஸாக்
Rayban	ரேபேன்
Sun	சன்
Madurai	மதுரை
Kuhada	குஹாதா
Chanda	சந்தா
Fort	ஃபோர்ட்
Makhdoom	மாக்தூம்
Yahya	யாஹ்யா
Maneri	மனெரி
Carl	கார்ல்
Cachopa	காச்சோபா
Gujarati	குஜ்ராத்தி
hora	ஹோரா
Dauphin	டாப்பின்
Ranesh	ரனேஷ்
Jura	ஜூரா
Annigeri	அன்னிகேரி
Randhir	ரந்திர்
Singh	சிங்
Mahaavat	மஹாவத்
Anandi	ஆனந்தி
Wacoal	வாகோல்
Holdings	ஹோல்டிங்க்ஸ்
Corporation	கார்ப்பரேஷன்
Brandenburg	பிரான்டென்பர்க்
Audrey	ஆத்ரே
Raja	ராஜா
Rani	ராணி
Gaetane	கேதானெ
Amrataa	அம்ராதா
Himalay	ஹிமாலய்
Ki	கி
Beti	பேட்டி
Gurudwara	குருத்வாரா
Doot-talai	தூத்தலாய்
Ramesh	ரமேஷ்
Richard	ரிச்சர்ட்
Austin	ஆஸ்டின்
Manager	மானேஜர்
Bahhath	பஹ்ஹத்
Carl	கார்ல்
Tuckett	டக்கெட்
Ian	ஐயன்
Smith	ஸ்மித்
Galaxidi	காலாக்ஸிடி
Maritime	மேரிடைம்
Museum	மியூஸியம்
Lamya	லம்யா
Balaghat	பாலாகாட்
Das	டாஸ்
Subarna	சுபர்னா
Kiana	கியானா
Anitej	அனிதேஜ்
Advaakee	அத்வாகீ
Prakash	பிரகாஷ்
Electricite	எலக்டிரிசிட்டி
De	டி
France	ஃபிரான்ஸ்
Diyodar	தியோதர்
Hua	ஹுவா
Savera	சவேரா
Ali	அலி
Shah	ஷா
Fort	ஃப்போர்ட்
crown	கிரவுன்
point	பாயிண்ட்
Fort	ஃப்போர்ட்
oswego	ஆஸ்வேகோ
Jalan	ஜலன்
Singla	சிங்லா
Sharifah	ஷரீஃபா
Fuad	ஃபாட்
Mandir	மன்திர்
London	லண்டன்
Gatwick	காட்விக்
Kayo	கயோ
Chirag	சிராக்
Jwaharlal	ஜவஹர்லால்
nehru	நேரு
University	யூனிவர்சிட்டி
india	இந்தியா
Qaysar	கேஸர்
Apurv	அபூர்வ்
Laboni	லபோனி
Abdul	அப்துல்
hadi	ஹாதி
Sinharaja	சின்னராஜா
Forest	ஃபாரஸ்ட்
Reserve	ரிசர்வ்
Augustus	அகஸ்டஸ்
Abdul	அப்துல்
tawwaab	தாவ்வாப்
Nordea	நார்டியா
Bank	பேங்க்
Elden	எல்டென்
Desmond	டெஸ்மண்ட்
Haynes	ஹெய்ன்ஸ்
Dalpatpur	தல்பத்பூர்
Dadahur	டாடாஹுர்
Star	ஸ்டார்
of	ஆஃப்
mysore	மைசூர்
Emerald	எமெரால்ட்
Bible	பைபிள்
Novamerican	நோவாமெரிக்கன்
Steel	ஸ்டீல்
Prabhrup	பிரப்ரூப்
Rituparan	ரிதுபாரன்
Poornayogee	பூர்ணயோகி
Avi	அவி
Vipasha	விபாஷா
Aberdeen	அபெர்டீன்
Bachhrawan	பச்ராவன்
Ram	ராம்
Teri	தேரி
Ganga	கங்கா
Maili	மைலி
Justin	ஜஸ்டின்
Langer	லாங்கெர்
Bahiru	பாஹிரு
Idd	ஈத்
Mubarak	முபாரக்
Fort	ஃப்போர்ட்
townsend	டவுன்சென்ட்
Gurudwara	குருத்வாரா
Chubachha	சுபச்சா
Sahib	சாஹிப்
Palace	பேலஸ்
Museum	மியூஸியம்
Khoon	கூன்
Kharaba	கராபா
Kahani	கஹானி
Hum	ஹம்
Sab	சாப்
Ki	கி
Gulzarbagh	குல்ஜர்பாக்
Ian	இயன்
Bishop	பிஷப்
Hambada	ஹம்பாதா
Mizmar	மிஜ்மார்
Varthamanam	வர்த்தமானம்
Fort	ஃப்போர்ட்
de	டி
russy	ருஸ்ஸி
Arivumani	அரிவுமனி
Shaw	ஷா
Prize	ப்ரைஸ்
Ram	ராம்
Kasam	காஸம்
Ethnographical	எத்னோகிராப்பிக்கல்
Historical	ஹிஸ்டாரிக்கல்
Museum	மியூஸியம்
of	ஆஃப்
Larissa	லாரிஸ்ஸா
Geometric	ஜியாமெட்ரிக்
Software	சாஃப்ட்வேர்
Solutions	சொல்யூஷன்ஸ்
Lambeth	லம்பெத்
walk	வாக்
Hafsah	ஹஃப்ஸா
Bharatkund	பாரத்குந்த்
Maltese	மால்டெஸ்ஸே
Shatrudaman	ஷத்ருதமன்
Thabit	தாபித்
Guadeloupe	குவாடெலோப்
Dadri	தாத்ரி
Gadulka	கடுல்கா
Medal	மெடல்
of	ஆஃப்
Valour	வேலர்
Dharmpal	தரம்பால்
Mohammad	மொஹ்ஹம்மத்
Zahid	ஜாஹித்
Nebula	நெபுலா
Jerauld	ஜெரால்ட்
Bishr	பிஷ்ர்
al-Hafi	அல்-ஹாஃப்பி
Chitt	சித்
Mehtab	மேஹ்தாப்
Chhina	சின்னா
Allahabad	அலஹாபாத்
Fort	ஃப்போர்ட்
independence	இன்டிபென்டென்ஸ்
Kishori	கிஷோரி
Anurag	அனுராக்
Ladies	லேடீஸ்
Tailor	டெய்லர்
Faulad	ஃபௌலத்
Abdul	அப்துல்
nafi	நாஃபி
Iago	ஐகோ
Faseeh	ஃபஸீஹ்
Greg	கிரெக்
Ritchie	ரிட்ச்சீ
Metallophone	மெடல்லோஃபோன்
Gary	கேரி
Kirsten	கிர்ஸ்டன்
Shamir	ஷமிர்
Optical	ஆப்டிக்கல்
Industry	இண்டஸ்டிரி
Ardh	அர்த்
Satya	சத்யா
Turner	டர்னர்
Prize	ப்ரைஸ்
Barkandi	பர்கன்டி
Pramilaa	பிரமிளா
Chunar	சுனார்
Pratibha	பிரதிபா
Helsinki-Vantaa	ஹெல்சின்கி-வன்ட்டா
Raghubir	ரகுபிர்
Masoom	மாஸூம்
Laasya	லாஸ்யா
Abdur	அப்துர்
rahman	ரஹ்மான்
Navratri	நவ்ராத்ரி
Brahma	ப்ரம்மா
Guma	குமா
Faqeeh	ஃபகீஹ்
Soryu	ஸோர்யு
Bahadur	பஹதுர்
Daku	தாகு
kullu	குளு
Dick	டிக்
Clark	க்ளார்க்
Clarissa	கிளாரிஸா
Antarktika	அன்டாக்டிக்கா
Order	ஆர்டர்
of	ஆஃப்
National	நேஷனல்
Security	செக்யூரிட்டி
Merit	மெரிட்
Moterwali	மோடர்வாலி
Rivaaj	ரிவாஜ்
Wamil	வாமில்
Elron	எல்ரான்
Electronic	எலக்டிரானிக்
Industries	இண்டஸ்டிரீஸ்
Madanapaal	மதனபால்
Harachand	ஹரசந்த்
Pearse	பியர்ஸ்
Brossnan	ப்ராஸ்னன்
Mark	மார்க்
Bailey	பைலே
Laksha	லக்ஷா
Songadra	சோங்காத்ரா
Pan	பான்
American	அமெரிக்கன்
Silver	சில்வர்
Murari	முராரி
Veerana	வீரானா
Mayo	மாயோ
Kael	காயேல்
Aphrodite	அப்ரோடைட்
Melissan	மெல்லிசன்
Chhora	சோரா
Chhori	சோரி
Fort	ஃப்போர்ட்
meigs	மேயிக்ஸ்
Maha	மஹா
Shaktimaan	ஷக்திமான்
National	நேஷனல்
Art	ஆர்ட்
Gallery	கேலரி
and	அண்ட்
Alexandros	அலெக்ஸான்டிரோஸ்
Soutzos	செளட்ஸாஸ்
Museum	மியூஸியம்
Priestley	ப்ரீஸ்ட்லி
Medal	மெடல்
Shinda	ஷிந்தா
Bhudev	பூதேவ்
Aapas	ஆபாஸ்
Ki	கி
Baat	பாத்
Ravivanshee	ரவிவன்ஷீ
Door	தூர்
Gagan	ககன்
Ki	கி
Chhaon	சஹோன்
Mein	மெயின்
Ghugus	கூகஸ்
Bhojipura	போஜிபூரா
Junction	ஜங்ஷன்
Christ	கிறிஸ்ட்
the	தி
King	கிங்
Lutheran	லுதெரன்
Aur	ஔர்
Pyar	பியார்
Ho	ஹோ
Gaya	கயா
Everton	எவர்டன்
Mattis	மாட்டிஸ்
Baaz	பாஸ்
Bahadur	பஹதுர்
Alamatti	அலமாட்டி
Dam	டேம்
Atyachar	அத்யசார்
Anoop	அனூப்
Sheroo	ஷெரூ
Kalahandi	கலாஜான்டி
Greg	க்ரெக்
Lamb	லேம்ப்
Wahid	வஹித்
Bahlul	பாஹலுல்
Nihang	நிஹாங்
Sri	ஸ்ரீ
Thendayuthapani	தண்டாயுதபாணி
Tim	டிம்
Allan	ஆலன்
Brunel	ப்ரூனல்
University	யூனிவர்சிட்டி
Narhari	நரஹரி
Mushfiq	முஷ்ஃபிக்
Kyros	கைரோஸ்
Sawa	சவா
Bharat	பாரத்
Ki	கி
Santaan	சந்தான்
Troy	ட்ராய்
Angela	ஏன்ஜெலா
Fort	ஃப்போர்ட்
albert	ஆல்பர்ட்
Bahlol	பஹலோல்
Kanhere	கன்ஹரே
Mutawassit	முதாவாசித்
Mendelevium	மென்டெலேவியம்
Devilal	தேவிலால்
Rianna	ரியன்னா
Farica	ஃபரிகா
Wafadaar	வாஃப்பதார்
Fado	ஃப்பாடோ
Cyril	சிரில்
Jahanara	ஜஹனாரா
Dan	டான்
Quayle	குவாலே
Rangle	ரங்கில்
Gode	கோதே
Hum	ஹம்
Junglee	ஜங்லீ
Hain	ஹெயின்
Egypt	எகிப்து
Taha	தாஹா
Osimam	ஓசிமாம்
Bourdieu	பெளடியூ
okz	ஓக்ஸ்
Ashtputre	அஷ்புத்ரே
East	ஈஸ்ட்
Nimad	நிமாத்
Rasesh	ரஸெஷ்
James	ஜேம்ஸ்
Cagney	கேக்னி
Meenar	மீனார்
Tara	தாரா
Guru	குரு
granth	கிரன்த்
sahib	ஸாஹிப்
Hayaat	ஹயாத்
Alfred	ஆல்ஃபிரட்
Tennison	டென்னிசன்
Ulka	ஊல்கா
Kotla	கோட்லா
Ravindra	ரவிந்திரா
Changqing	சாங்கிங்
World	வேர்ல்ட்
Trade	டிரேட்
Cenre	சென்டர்
Schilde	ஷில்டே
Benedetto	பெனெடெட்டோ
Brin	பிரின்
Harunur	ஹருனுர்
Rashid	ராஷித்
Don	டான்
Anurasiri	அனுராசிரி
Philips	ஃபிலிப்ஸ்
Vala	வலா
Chorvad	சோர்வாட்
Road	ரோட்
Shahriar	ஷாஹ்ரியர்
Nafees	நஃப்பீஸ்
Dakhineswar	தக்கினேஷ்வர்
Suven	சுவென்
Life	லைஃப்
Scie	சைன்ஸ்
Ghuzayyah	குஸாயா
Radiology	ரேடியாலஜி
Naismith	நேஸ்மித்
Award	அவார்ட்
Dubia	துபியா
Halimah	ஹலிமா
Order	ஆர்டர்
of	ஆஃப்
Lenin	லெனின்
Krishna	கிருஷ்ண
ji	ஜி
Taranga	தாரங்கா
Shahidah	ஷாஹிதா
Escorts	எஸ்கார்ட்ஸ்
Horse	ஹார்ஸ்
Riding	ரைடிங்
Sachaai	ஸச்சாயி
Ernesettle	எர்ன்செட்டில்
fort	ஃப்போர்ட்
Mother	மதர்
Theresa	தெரசா
Umm	உம்
kulthum	குல்தும்
Ji	ஜி
Chahta	சாஹ்தா
Hai	ஹை
Wajih	வஜி
Grey	கிரே
art	ஆர்ட்
Gallery	கேலரி
Naya	நயா
Paisa	பைசா
Light	லைட்
House	ஹவுஸ்
Cael	காயேல்
Bhoomi	பூமி
Mukulita	முகுலிதா
Alan	ஆலன்
Connolly	கோனொல்லி
Holmes	ஹோம்ஸ்
Leuseur	லியூஸுர்
Afasana	அஃபஸானா
Chittaprasad	சித்தபிரசாத்
Avaneendra	அவனீன்திரா
Fabrizio	ஃபாப்ரிஸியோ
Godfrey	காடஃப்ரே
Phillips	ஃபிலிப்ப்ஸ்
Ophelia	ஓபீலியா
Chandha	சந்தா
Warren	வாரன்
Bettie	பெட்டி
Sikander	சிக்கந்தர்
Bakht	பக்ட்
Avantika	அவன்திக்கா
Geeta	கீதா
Ki	கி
Saugandh	சௌகந்த்
Chandr	சந்தர்
Dainik	டைனிக்
sonar	சோனார்
cachar	காசார்
Shatayu	ஷதயு
Shivadaan	ஷிவதான்
Bharatmuni	பாரத்முனி
Jett	ஜேட்
Kaga	காகா
Verkhoyansk	வெர்கோயான்ஸ்க்
Satinderpal	சதிந்தர்பால்
Kirsten	கேர்ஸ்டென்
Jeet	ஜீத்
Forbes	போர்ப்ஸ்
Medi-Tech	மெடி-டெக்
Muraaree	முராரி
Kar	கர்
Bhala	பாலா
Badwasi	பாட்வாஸி
Mukhtar	முக்தார்
Iki	ஐகி
Sirius	சிரியஸ்
Xandy	ஜேண்டி
Gauri	கெளரி
Ek	ஏக்
Se	சே
Bhale	பலே
Do	தோ
Rasika	ரசிகா
Bratindra	ப்ரதீந்த்ரா
Wendell	வென்டெல்
Bhusaval	புசாவல்
Junction	ஜங்ஷன்
Birur	பிரூர்
Junction	ஜங்ஷன்
Robinson	ராபின்சன்
Griggs	கிரிக்ஸ்
Municipal	முனிசிப்பல்
Gallery	கேலரி
of	ஆஃப்
Corfu	கார்ஃப்பு
Yudhisthir	யுதிஷ்திர்
Melva	மெல்வா
Shambhavi	ஷாம்பவி
Clive	க்ளைவ்
Rice	ரைஸ்
Abhiram	அபிராம்
Bhutesh	பூதேஷ்
Louanna	லுவானா
Saeed	சயீத்
Bin	பின்
Nasir	நாசிர்
Yuvati	யுவதி
Bilaspur	பிலாஸ்பூர்
Junction	ஜங்ஷன்
Clea	கிளியா
Coca-Cola	கோகா-கோலா
India	இந்தியா
Wafiq	வஃபிக்
Nirvan	நிர்வாண்
World	வோர்ல்ட்
Food	ஃபுட்
Prize	ப்ரைஸ்
Kaysah	கேஸா
Mario	மரியோ
cuomo	குவோமோ
Maa	மா
Kasam	காஸம்
Badla	பாட்லா
Loonga	லூங்கா
Meriel	மேரியல்
Winston	வின்ஸ்டன்
Salwa	சல்வா
Tapati	தபதி
Bhakta	பக்த
Kabir	கபிர்
Shandaar	ஷான்தார்
Peary	பியரி
Trudeau	ட்ரோடியே
Dahana	டஹானா
Parth	பார்த்
Walmiki	வால்மீகி
Matrix	மேட்ரிக்ஸ்
Lab	லேப்
Garnet	கார்னெட்
Lal	லால்
Patthar	பாத்தர்
Twyla	த்வைலா
Parijat	பாரிஜாத்
Gayatri	காய்த்ரி
Bajva	பஜ்வா
Shane	ஷேன்
Warne	வார்ன்
James	ஜேம்ஸ்
Brown	பிரவுன்
Baba	பாபா
Fakruddin	ஃப்பக்ருத்தீன்
Berkelium	பெர்கேலியம்
Bogota	பொகோதோ
Raichur	ரைசூர்
Mahasweta	மஹாஸ்வேதா
Mhatre	மாத்ரே
Amandip	அமன்திப்
Char	சார்
Ankhein	ஆங்கேன்
Colton	கோல்டன்
Humayun	ஹுமாயுன்
Farhat	ஃபர்ஹத்
Guatemala	கடமலா
City	சிட்டி
Kavthekar	கவ்தேகர்
George	ஜார்ஜ்
Carlin	கார்லின்
Gumla	கும்லா
Fresno	ஃப்பிரெஸ்னோ
Art	ஆர்ட்
Museum	மியூஸியம்
Mubeenah	முபீனா
Dubaha	துபாஹா
Rafiqul	ரஃப்பிகுல்
Islam	இஸ்லாம்
Chitrakoot	சித்ராகூட்
Bhore	போர்
Amalia	அமாலியா
Frederica	ஃப்ரெடரிகா
Bhakt	பக்த்
Surdas	சுர்தாஸ்
Vijay	விஜய்
Yadav	யாதவ்
Rianne	ரியன்னா
Gurla	குர்லா
311	311
South	சௌத்
Wacker	வக்கர்
Drive	டிரைவ்
Wal	வால்
Mart	மார்ட்
Stores	ஸ்டோர்ஸ்
Progeon	ப்ரோஜியான்
Camtek	காம்டெக்
Londhe	லோன்தே
Cira	சிரா
Metripolitan	மெட்ரிபோலிட்டன்
Museum	மியூஸியம்
of	ஆஃப்
art	ஆர்ட்
Bhagavaan	பகவான்
Sayyidah	சய்யிதா
Keith	கீத்
Arthurton	ஆர்தர்டன்
Parvatinandan	பார்வதிநந்தன்
Medhekar	மேதேகர்
Betelsmann	பீடெல்ஸ்மன்
Atmaj	அத்மஜ்
Dadi	தாதி
Maa	மா
Pramodya	ப்ரோமோத்யா
Wickramasinghe	விக்ரமசிங்கே
Fallon	ஃபாலன்
Prinzregent	பிரின்ஸ்ரேஜென்ட்
Luitpold	லுயிட்போல்ட்
Earl	ஏர்ல்
Sanjushree	சஞ்சுஸ்ரீ
Caja	காஜா
Kef	கெப்
al	அல்
Kaous	காவோஸ்
Banga	பாங்கா
Arth	அர்த்
Marilu	மேரிலு
Mangu	மங்கு
Dada	தாதா
Okanogan	ஒகனோகன்
Atinderjit	அத்திந்தர்ஜீத்
Tacey	டெஸி
Aachaarysutaa	ஆசார்யாசுதா
Jeevana	ஜீவனா
Mata	மாதா
Medzhybizh	மெட்ஸிபிஸ்
Samrat	சம்ராத்
Iran	இரான்
Ki	கி
Ek	ஏக்
Raat	ராத்
Robert	ராபர்ட்
Atkins	அட்கின்ஸ்
Ajir	அஜிர்
asom	அஸோம்
Simeon	சிமியோன்
Mala	மாலா
Thanjavur	தஞ்சாவூர்
National	நேஷனல்
Public	பப்ளிக்
School	ஸ்கூல்
Otago	ஒடாகோ
University	யூனிவர்சிட்டி
Analiese	அனாலியஸ்
Postman	போஸ்ட் மேன்
Bundi	புன்டி
fort	ஃப்போர்ட்
Hbos	எச்பாஸ்
Aradia	அரடியா
Garry	காரி
David	டேவிட்
Tikolo	டிக்கோலோ
Rangoon	ரங்கூன்
Ahmed	அஹ்மத்
Yesevi	யெஸெவி
Robinson	ராபின்சன்
Christian	கிறிஸ்டியன்
Charl	சார்ல்
Willoughby	வில்லோக்பி
Aakrosh	ஆக்ரோஷ்
Hertog	ஹெர்டாக்
Hendrik	ஹென்ட்ரிக்
Kaalaraatri	காலராத்ரி
Nagarkar	நகர்கர்
Gent	ஜெண்ட்
Soccer	சாக்கர்
Bert	பெர்ட்
Vance	வான்சி
Melina	மெலினா
Sundar	சுந்தர்
Liam	லியம்
Plunkett	பிளன்கெட்
Sahaja	சஹஜா
Dil	தில்
Deke	தேகே
Dekho	தேகோ
Reen	ரீன்
New	நியூ
York	யார்க்
Transit	டிரான்சிட்
Museum	மியூஸியம்
Elda	எல்டா
Bombay	பாம்பே
War	வார்
Mangalagiri	மங்கலகிரி
Viareggio	வியரிகியோ
Prize	ப்ரைஸ்
Salahuddin	ஸாலாஹுத்தின்
Ahmed	அஹ்மத்
Ladke	லாட்கெ
Baap	பாப்
Se	செ
Badh	பாத்
Ke	கெ
University	யூனிவர்சிட்டி
of	அஃப்
Alabama	அலபாமா
Babagon	பாபாகோன்
Dam	டேம்
Tsavo	டிசாவோ
East	ஈஸ்ட்
National	நேஷனல்
High	ஹை
School	ஸ்கூல்
Voltaire	வால்டைய்ர்
Prakasham	பிரகாஷம்
Lisa	லிசா
Marie	மேரி
Presley	ப்ரிஸ்லி
Jackson	ஜாக்சன்
Baghdad	பாக்தாத்
Ka	கா
Jadu	ஜாடு
Sapre	சாப்ரே
Ek	ஏக்
Main	மெயின்
Aur	ஔர்
Ek	ஏக்
Tu	து
University	யூனிவர்சிட்டி
of	ஆஃப்
South	சௌத்
Queensland	குயின்ஸ்லேண்ட்
War	வார்
of	ஆப்
the	த
Reunions	ரீயூனியன்ஸ்
Dulip	துலீப்
Samaraweera	சமரவீரா
Gurudwara	குருத்வாரா
Gowindwal	கோவிந்த்வால்
Sahib	சாஹிப்
Anokhi	அனோகி
Seva	சேவா
Matsushita	மட்சுஷிட்டா
Electric	எலக்டிரிக்
Industrial	இண்டஸ்டிரியல்
Chunauti	சுனௌதி
Guj	குஜ்
NRE	என்ஆர்இ
Coke	கோக்
Queens	குயின்ஸ்
County	கவுன்டி
Farm	ஃப்பார்ம்
Museum	மியூஸியம்
Pyar	பியார்
Mein	மேன்
Sauda	செளதா
Nahin	நஹின்
Somdev	சோம்தேவ்
Banke	பங்கே
Sanwaria	சன்வாரியா
Bolarum	பொலாரம்
Shamel	ஷமெல்
Jewell	ஜுவல்
Gumia	குமியா
Abdul	அப்துல்
muhayameen	முஹயமீன்
Hum	ஹம்
Panch	பஞ்ச்
Chaggan	சாக்கன்
Banshlai	பன்ஷ்லாய்
Bridge	ப்ரிட்ஜ்
Nicky	நிக்கி
Boje	ஹோயே
Raj	ராஜ்
Ramani	ரமனி
Francois	ஃப்ரான்காய்ஸ்
Damaad	தமாத்
Shah	ஷா
E	இ
Misar	மிஸார்
Maribeth	மரிபெத்
Bamanheri	பமன்ஹேரி
Flugelhorn	ஃப்ளியூகல்ஹார்ன்
Cicily	சிஸ்ஸி
Brijesh	பிரிஜேஷ்
Patel	பட்டேல்
Vidyut	வித்யூத்
Vern	வெர்ன்
Adwaakee	அத்வாகீ
Fort	ஃப்போர்ட்
mcandrew	மெக்கான்ட்ரூ
Anglo-Dutch	ஆங்கிளோ-டச்
War	வார்
Trikaya	த்ரிகயா
Sangeet	சங்கீத்
Samrat	சம்ரத்
Tansen	டான்சென்
Serra	செர்ரா
dos	டாஸ்
orgaos	ஆர்காவோஸ்
Samata	சமதா
Deshnok	தேஷ்னோக்
Anoushkaa	அனெளஷ்க்கா
Samara	சமரா
Marchovelette	மார்சோவெலெட்டே
Qareeb	கரீப்
Devon	டெவான்
Malcolm	மால்காம்
Satyam	சத்யம்
Computers	கம்ப்யூட்டர்ஸ்
Meharbaan	மெஹர்பான்
Anil	அனில்
Dalpat	தல்பாத்
Mohinee	மோஹினீ
Adishvar	அதிஷ்வர்
Gurudwara	குருத்வாரா
Mata	மாதா
Kaulan	கௌலான்
ji	ஜீ
Maa	மா
Ka	கா
Pyar	பியார்
Makkaar	மக்கார்
Balkan	பால்கன்
Kirkan	கிர்கான்
Ahsan	அஹ்சான்
Sudipti	சுதிப்தி
Floyd	ஃப்ளாய்ட்
Reifer	ரீஃபர்
Premchand	ப்ரேம்சந்த்
Conan	கோனான்
Gajre	கஜ்ரே
Ambardekar	அம்பர்தேகர்
Ashley	ஆஷ்லி
Noffke	நோஃப்கே
Ana	அனா
Neecha	நீச்சா
Nagar	நகார்
David	டேவிட்
Steele	ஸ்டீல்
Lakde	லக்தே
Mawiyah	மவியா
Sharmistha	ஷர்மிஸ்தா
Arnala	அர்னாலா
fort	ஃப்போர்ட்
Devgam	தேவ்கம்
Gertrude	கெர்ட்ரூட்
University	யூனிவர்சிட்டி
of	ஆஃப்
California	கலிஃபோர்னியா
Sweekar	ஸ்வீகர்
Kiya	கியா
Maine	மைனே
Avanindra	அவனின்திரா
Christianity	கிரிஸ்டியானிட்டி
Jyotsanaa	ஜோத்ஸ்னா
Purity	ப்யூரிட்டி
Akash	ஆகாஷ்
Pari	பாரி
Fateh	ஃபதேஹ்
Singhpura	சிங்க்பூரா
Birmitrapur	பிர்மித்ராபூர்
Sushila	சுஷிலா
Xenia	ஜேனியா
Angooree	அங்கூரீ
Newstime	நியூஸ்டைம்
Stockton	ஸ்டாக்டன்
Aasimah	ஆஸிமா
Fortaleza	ஃப்போர்டாலெஸா
da	டா
guia	கியா
Balawala	பலாவாலா
Lynette	லினெட்
Tilak	திலக்
Chattan	சத்தன்
Singh	சிங்
Atlantic	அட்லான்டிக்
Ocean	ஓஷன்
Dahina	தாஹினா
Zainabad	ஜாய்னாபாத்
Truly	ட்ரூலி
Shree	ஸ்ரீ
Ganesh	கணேஷ்
Vivah	விவாஹ்
Bank	பேங்க்
of	ஆப்
China	சைனா
Ashok	அஷோக்
Mankad	மன்கத்
Museum	மியூஸியம்
of	ஆஃப்
Biblical	பிப்லிக்கல்
art	ஆர்ட்
Pemex	பேமெக்ஸ்
Howard	ஹோவர்ட்
Hughes	ஹக்ஸ்
Fort	ஃப்போர்ட்
york	யார்க்
Raja	ராஜா
Radhika	ராதிகா
Prasad	பிரசாத்
Leelamayee	லீலாமயி
Waris	வாரிஸ்
Sugandh	சுகந்த்
Spyridon	ஸ்பைரிடன்
Gidarpindi	கிதர்பிண்டி
Zakhmi	ஸாக்மி
Dil	தில்
Madeira	மாதேய்ரா
Bhajaraam	பஜராம்
Ena	எனா
Keshini	கேஷினி
Banphool	பன்பூல்
Golaghat	கோலாகாட்
Aahlad	ஆஹ்லாத்
Arnhem	ஆர்ன்ஹெம்
Egg	எஃக்
buckland	பக்லாண்ட்
keep	கீப்
Velankar	வெலன்கர்
Old	ஓல்ட்
roman	ரோமன்
Chelsia	செல்ஸியா
Turco-Persian	டர்கா-பெர்ஷியன்
War	வார்
Milam	மிலம்
Bethany	பெதனி
Baptist	பேப்டிஸ்ட்
Citadelle	சிட்டாடெல்
fort	ஃப்போர்ட்
Ayodhyapati	அயோத்யபதி
Pahu	பாஹு
Malamkar	மலம்கர்
Alec	அலெக்
Stewart	ஸ்டீவர்ட்
Adawi	அடாவி
Roop	ரூப்
Kahani	கஹானி
Mihir	மிஹிர்
Cricket	கிரிக்கெட்
World	வோர்ல்ட்
Cup	கப்
Dhirendra	திரேந்திரா
Main	மேன்
Aur	அவுர்
Mera	மேரா
Bhai	பாய்
Ossama	ஓஸ்ஸாமா
Liverpool	லிவர்பூல்
John	ஜான்
Moores	மூர்ஸ்
University	யூனிவர்சிட்டி
Yamini	யாமினி
Napoli	நாபோலி
Lei	லீ
yue	யு
mun	மன்
fort	ஃப்போர்ட்
Bikhare	பிகாரே
Moti	மோதி
Grishma	கிரிஷ்மா
Bhadraksh	பாத்ராக்ஷ்
Banco	பாங்கோ
Do	டூ
Brasil	பிராஸில்
Agnee	அக்னீ
Omar	ஒமர்
Henry	ஹென்ரி
Viresh	விரேஷ்
Shurahbeel	ஷுராபீல்
Brahmadutt	ப்ரம்மதத்
Tung	துங்
chung	சங்
fort	ஃப்போர்ட்
Aayee	ஆயே
Phir	ஃபிர்
Bahar	பஹார்
Naach	நாச்
Utha	உதா
Sansar	சன்ஸார்
Shatranj	ஷாத்ராஞ்
