Spingarn	ಸ್ಪಿನ್‌ಗರ್ನ್
Ki	ಕಿ
Bahu	ಬಹು
Dave	ಡೇವ್
Mohammed	ಮೊಹಮ್ಮದ್
Ganesh	ಗಣೇಶ್
Jamshedpur	ಜಂಷೆಡ್ಪುರ್
Blue	ಬ್ಲೂ
Ridge	ರಿಡ್ಜ್
Nikhilesh	ನಿಖಿಲೇಶ್
Lake	ಲೇಕ್
Shikhar	ಶಿಖರ್
Madhunisha	ಮಧುನಿಶಾ
Steele	ಸ್ಟೀಲೆ
Prize	ಪ್ರೈಜ್
Mumin	ಮುಮಿನ್
Yaar	ಯಾರ್
Kasam	ಕಸಮ್
Staddon	ಸ್ಟ್ಯಾಡನ್
fort	ಫೋರ್ಟ್
Devabrata	ದೆವಬ್ರತಾ
Jassal	ಜಸ್ಸಲ್
Behram	ಬೆಹರಮ್
Khan	ಖಾನ್
Gwenifer	ಗ್ವೆನಿಫರ್
Muralimanohar	ಮುರಳಿಮನೋಹರ
Shrawan	ಶ್ರವಣ
Kumar	ಕುಮಾರ
Duniya	ದುನಿಯಾ
Nachegi	ನಾಚೇಗೀ
Ojaswini	ಓಜಸ್ವಿನಿ
Thais	ಥಾಯಿಸ್
Tahir	ತಾಹಿರ್
Ansar	ಅನ್ಸರ್
Andhi	ಅಂಧಿ
Gali	ಗಲೀ
Mick	ಮಿಕ್
Lewis	ಲೆವಿಸ್
Dina	ದಿನಾ
Nagar	ನಗರ್
Anneliese	ಅನ್ನೆಲೀಸ್
Mehboobnagar	ಮೆಹಬೂಬನಗರ್
Anupamaa	ಅನುಪಮಾ
Afif	ಅಫೀಫ್
Anaum	ಅನಾಮ್
Veer	ವೀರ್
Bhimsen	ಭೀಮಸಿಂಹ್
Dudwindi	ದುದ್ವಿಂಡಿ
Akasha	ಆಕಾಶ
The	ದಿ
alamo	ಅಲಾಮೊ
Sinead	ಸಿನಿಯಾಡ್
Tekla	ಟೆಕ್ಲಾ
Taj	ತಾಜ್
Sadguna	ಸದ್ಗುಣ
International	ಇಂಟರ್‌ನ್ಯಾಶನಲ್
Center	ಸೆಂಟರ್
of	ಆಫ್
Photography	ಫೋಟೊಗ್ರಫಿ
Manamaujee	ಮನಮೌಜೀ
Milton	ಮಿಲ್ಟನ್
Ballard	ಬಲಾರ್ಡ್
Power	ಪವರ್
Systems	ಸಿಸ್ಟಮ್ಸ್
Adam	ಆದಂ
Bacher	ಬ್ಯಾಚರ್
Chuck	ಚುಕ್
Norris	ನೋರಿಸ್
Lazzaro	ಲಝಾರೊ
Pathanamthitta	ಪಟ್ಟಣಂತಿಟ್ಟ
Abdul	ಅಬ್ದುಲ್
muhaasin	ಮುಹಾಸಿನ್
Aa	ಆ
Gale	ಗಲೇ
Lag	ಲಗ್
Ja	ಜಾ
Kalyani	ಕಲ್ಯಾಣಿ
Petronas	ಪೆಟ್ರೋನಾಸ್
Peter	ಪೀಟರ್
Webb	ವೆಬ್
Nartaki	ನರ್ತಕಿ
Chitra	ಚಿತ್ರ
Shrirang	ಶ್ರೀರಂಗ
Shabbeer	ಶಬೀರ್
Qaisar	ಖೇಸರ್
Sati	ಸತಿ
Anjani	ಅಂಜನಿ
Eltek	ಎಲ್ಟೆಕ್
Harmonium	ಹಾರ್ಮೋನಿಯಂ
Bhuvaneswari	ಭುವನೇಶ್ವರಿ
Hindu	ಹಿಂದು
Yudhishthir	ಯುಧಿಷ್ಟರ್
Yaagyik	ಯಾಜ್ಞಿಕ್
Halwani	ಹಲ್ವಾನಿ
Chunneelaal	ಚುನ್ನೀಲಾಲ್
Kortenaer	ಕೋರ್ಟೆನರ್
Mistah	ಮಿಸ್ತಾ
Kirayedar	ಕಿರಾಯೆದಾರ್
Wrestling	ರೆಸ್ಲಿಂಗ್
Russian	ರಷ್ಯನ್
Federation	ಫೆಡರೇಶನ್
Order	ಆರ್ಡರ್
of	ಆಫ್
the	ದ
Golden	ಗೊಲ್ಡನ್
Fleece	ಫ್ಲೀಸ್
Choudhary	ಚೌಧರಿ
Janasah	ಜನಸಾಹ್
Fort	ಫೋರ್ಟ್
wool	ವುಲ್
Cardinal	ಕಾರ್ಡಿನಲ್
Health	ಹೆಲ್ತ್
Raghunath	ರಘುನಾಥ
Shakeel	ಶಕೀಲಾ
Nalin	ನಳಿನ್
Kopargaonkar	ಕೋಪರ್‌ಗಾಂವಕರ್
Chihuahuan	ಚಿಹುವಾಹುವಾನ್
Pujit	ಪೂಜಿತ್
Khuraymah	ಖುರೇಮಾ
Dianne	ಡಿಯಾನ್ನೆ
Dainik	ದೈನಿಕ್
jugasankha	ಜುಗಸಂಖ್
Kapindra	ಕಪೀಂದ್ರ
Vinaya	ವಿನಯಾ
Rockingham	ರಾಂಕಿಂಗ್‌ಹ್ಯಾಂ
James	ಜೇಮ್ಸ್
Kamande	ಕಮಾಂಡೆ
Dougal	ಡೌಗಲ್
Grace	ಗ್ರೇಸ್
Family	ಫ್ಯಾಮಿಲಿ
Gotegaon	ಗೊಟೆಗಾಂವ್
Orthofix	ಆರ್ಥಓಫಿಕ್ಸ್
International	ಇಂಟರ್ನ್ಯಾಷನಲ್
Anjar	ಅಂಜರ್
Angus	ಅಂಗಸ್
Lambodar	ಲಂಬೋದರ
Solange	ಸೋಲಂಜ್
Myrilla	ಮಾಯಿರಿಲಾ
Ho-Am	ಹೊ-ಎಮ್
Prize	ಪ್ರೈಜ್
High	ಹೈ
Island	ಐಲ್ಯಾಂಡ್
Reservoir	ರಿಜರ್ವಾಯರ್
Pura	ಪುರಾ
Khoon	ಖೂನ್
Aur	ಔರ್
Paani	ಪಾನಿ
Phiroza	ಫಿರೋಜಾ
Kudremukh	ಕುದುರೆಮುಖ್
Rasheed	ರಶೀದ್
Chandrakin	ಚಂದ್ರಕಿನ್
John	ಜಾನ್
Aubuchon	ಆಬುಚೋನ್
Freedom	ಫ್ರೀಡಮ್
Maine	ಮೈ
Pyar	ಪ್ಯಾರ್
Kiya	ಕಿಯಾ
Phir	ಫಿರ್
Janam	ಜನಮ್
Lenge	ಲೇಂಗೆ
Hum	ಹಮ್
Mark	ಮಾರ್ಕ್
Ramprakash	ರಾಮಪ್ರಕಾಶ್
Tarzan	ಟಾರ್ಜನ್
And	ಅಂಡ್
Cobra	ಕೋಬರಾ
Jwar	ಜ್ವಾರ್
Bhata	ಭಾಟಾ
Jad	ಜದ್
Purushottam	ಪುರುಷೋತ್ತಮ
Peetaabh	ಪೀತಾಭ್
Charita	ಚರಿತಾ
Bipin	ಬಿಪಿನ್
Ruma	ರೂಮಾ
Bal	ಬಾಲ
Brahmachari	ಬ್ರಹ್ಮಾಚಾರಿ
Hashmat	ಹಶ್ಮತ್
Summerside	ಸಮ್ಮರ್‌ಸೈಡ್
United	ಯುನೈಟೆಡ್
Methodist	ಮೆಥೋಡಿಸ್ಟ್
Raeanne	ರೇನಿ
New	ನ್ಯೂ
Beginnings	ಬಿಗಿನಿಂಗ್ಸ್
Christian	ಕ್ರಿಶ್ಚಿಯನ್
Punia	ಪುನಿಯಾ
Manprasad	ಮನಪ್ರಸಾದ್
Suresh	ಸುರೇಶ್
Raina	ರಾಯನ್
Shahriar	ಶಹರಿಯಾರ್
Hossain	ಹುಸೇನ್
Christine	ಕ್ರಿಸ್ಟೀನ್
Darbhanga	ದರಭಾಂಗಾ
Junction	ಜಂಕ್ಷನ್
The	ದ
Dahesh	ದಹೇಶ್
Museum	ಮ್ಯೂಸಿಯಂ
Ranthambhore	ರಣತಂಬೋರ್
fort	ಫೋರ್ಟ್
Peelaa	ಪೀಲಾ
Lav	ಲಾವ್
Bannerghatta	ಬನ್ನೇರುಘಟ್ಟ
Bryan	ಬ್ರಯಾನ್
Strang	ಸ್ಟ್ರಾಂಗ್
Manmohan	ಮನಮೋಹನ
Cha	ಚಾ
Cha	ಚಾ
Cha	ಚಾ
Capital	ಕ್ಯಾಪಿಟಲ್
Tower	ಟವರ್
Choquella	ಚೋಕೆಲಾ
Fort	ಫೋರ್ಟ್
victoria	ವಿಕ್ಟೋರಿಯಾ
Delta	ಡೆಲ್ಟಾ
Galil	ಗಲೀಲ್
Industries	ಇಂಡಸ್ಟ್ರೀಸ್
Prem	ಪ್ರೇಮ್
Pujari	ಪುಜಾರಿ
Koyna	ಕೋಯ್ನಾ
Dam	ಡ್ಯಾಮ್
Avanindar	ಅವನಿಂದರ್
Rose	ರೋಸ್
Hill	ಹಿಲ್
Evangelical	ಇವಾಂಜಲಿಕಲ್
Free	ಫ್ರೀ
Afra	ಅಫ್ರಾ
Tula	ಟುಲಾ
Munich	ಮ್ಯೂನಿಚ್
Re	ರಿ
Group	ಗ್ರೂಪ್
Margo	ಮಾರ್ಗೋ
Caribe	ಕೇರಿಬ್
French	ಫ್ರೆಂಚ್
Revolutionary	ರೆವಲ್ಯೂಶನರಿ
Wars	ವಾರ್ಸ್
Aacharyasutaa	ಆಚಾರ್ಯಸುತಾ
Emberlynn	ಏಂಬರ್ಲಿನ್
Groupama	ಗ್ರೂಪಮಾ
Ova	ಓವಾ
Rakesh	ರಾಕೇಶ್
Ganga	ಗಂಗಾ
Mang	ಮಾಗ
Rahi	ರಹೀ
Balidan	ಬಲಿದಾನ್
Beeraam	ಬೀರಾಮ್
Nibodh	ನಿಬೋಧ್
Fattanwala	ಫತ್ತಣವಾಲಾ
Bhore	ಭೋರೆ
University	ಯುನಿವರ್ಸಿಟಿ
of	ಆಫ್
Luton	ಲೂಟನ್
The	ದ
British	ಬ್ರಿಟಿಷ್
School,	ಸ್ಕೂಲ್,
New	ನ್ಯೂ
Delhi	ಡೆಲ್ಲಿ
Maxwell	ಮ್ಯಾಕ್ಸ್‌ವೆಲ್
Anou	ಅನೌ
Timedouine	ಟೈಮ್ಡೂಯಿನ್
Nripesh	ನೃಪೇಶ್
Kusumakar	ಕುಸುಮಾಕರ
Bholi	ಭೋಲೀ
Ellen	ಎಲೆನ್
Swaraj	ಸ್ವರಾಜ್
Engines	ಇಂಜಿನ್ಸ್
Colum	ಕೋಲಂ
George	ಜಾರ್ಜ್
Harrison	ಹ್ಯಾರಿಸನ್
Rijuta	ಋಜುತಾ
Ahamad	ಅಹಮದ್
Zahoor	ಜಹೂರ್
Elahi	ಇಲಾಹಿ
Dujanah	ದುಜಾನಾ
Arzoo	ಆರಜೂ
Dharam	ಧರಮ್
Shatru	ಶತ್ರು
Mudra	ಮುದ್ರಾ
Vince	ವಿನ್ಸಿ
Aatmaja	ಆತ್ಮಜ
Iqbal	ಇಖ್ಬಾಲ್
Siddiqui	ಸಿದ್ದಿಕಿ
Apoorvaa	ಅಪೂರ್ವಾ
Avinash	ಅವಿನಾಶ್
Timila	ತಿಮಿಲಾ
Capodistria	ಕ್ಯಾಪೊಡಿಸ್ಟ್ರಿಯಾ
Museum	ಮ್ಯೂಸಿಯಂ
Phil	ಫಿಲ್
Osaka	ಒಸಾಕ
Derron	ಡೆರೋನ್
Kinshasa	ಕಿನ್ಶಾಸಾ
Keoladeo	ಕಿಲಾಡಿಯೊ
Ghana	ಘನಾ
Danske	ದಾನ್ಸ್ಕೆ
Bank	ಬ್ಯಾಂಕ್
Group	ಗ್ರೂಪ್
Juliette	ಜೂಲಿಯೆಟ್
Ghareebah	ಗರೀಬಾಹ್
Malaga	ಮಲಗಾ
Do	ದೋ
Matwale	ಮತವಾಲೆ
Miftah	ಮಿಫ್ತಾ
Meerut	ಮೀರತ್
Danish	ದನೀಶ್
Kaneria	ಕನೇರಿಯಾ
Myron	ಮಾಯರನ್
Abdul	ಅಬ್ದುಲ್
kareem	ಕರೀಂ
Carl	ಕಾರ್ಲ್
Cachopa	ಕಚೋಪಾ
Duer	ಡುವರ್
Gujarati	ಗುಜರಾತಿ
Alana	ಅಲಾನಾ
Restoration	ರಿಸ್ಟೋರೇಶನ್
Riyal	ರಿಯಾಲ್
Jura	ಜುರಾ
Ashraf	ಅಶ್ರಫ್
Ali	ಅಲಿ
Guma	ಗುಮಾ
Shuk	ಶುಕ್
Rambha	ರಂಭಾ
Fudail	ಫ್ಯೂಡೇಲ್
Stu	ಸ್ಟು
Ghunayn	ಗುತಾಯನ್
Marnie	ಮಾರ್ನೀ
Bedreddin	ಬೆಡ್ರೆದ್ದಿನ್
Ramesh	ರಮೇಶ್
Basbas	ಬಸ್ಬಾಸ್
Richard	ರಿಚರ್ಡ್
Austin	ಆಸ್ಟಿನ್
Carl	ಕಾರ್ಲ್
Tuckett	ಟಕೆಟ್
Saadi	ಸಾದಿ
Shirazi	ಶಿರಾಜಿ
Yeh	ಯೇ
Woh	ವಹ್
Manzil	ಮಂಜಿಲ್
To	ತೋ
Nahin	ನಹೀ
Worth	ವರ್ಥ್
Galaxidi	ಗೆಲ್ಯಾಕ್ಸಿಡಿ
Maritime	ಮೆರಿಟೈಮ್
Museum	ಮ್ಯೂಸಿಯಂ
Lamya	ಲಮ್ಯ
Vidya	ವಿದ್ಯಾ
Balaghat	ಬಲಘಾಟ್
Prix	ಪ್ರಿಕ್ಸ್
Renaudot	ರೆನೌಡಾಟ್
Hibernia	ಹಿಬರ್ನಿಯಾ
Caulfield	ಕಾಲ್‌ಫೀಲ್ಡ್
Cup	ಕಪ್
Chowki	ಚೌಕಿ
Number	ನಂಬರ್
Jyotiba	ಜ್ಯೋತಿಬಾ
Phule	ಫುಲೆ
Nagar	ನಗರ್
Barkat	ಬರ್ಕತ್
Tyagarajar	ತ್ಯಾಗರಾಜ
Hamara	ಹಮಾರಾ
Watan	ವತನ್
Electricite	ಎಲೆಕ್ಟ್ರಿಸೈಟ್
De	ಡಿ
France	ಫ್ರಾನ್ಸ್
Vishvaamitr	ವಿಶ್ವಾಮಿತ್ರ್
Jouhikko	ಜೌಹಿಕೊ
Hua	ಹುವಾ
Savera	ಸವೇರಾ
Draupadi	ದ್ರೌಪದೀ
Vastra	ವಸ್ತ್ರ
Haran	ಹರಣ್
Dahshat	ದಹಶತ್
Ali	ಆಲಿ
Shah	ಶಾ
Saburah	ಸಬುರಾ
Aadinaarayan	ಆದಿನಾರಾಯಣ
Shariful	ಶರೀಫುಲ್
Haque	ಹಕ್
One-step	ಒನ್-ಸ್ಟೆಪ್
Xadrian	ಜಾರ್ಡಿಯನ್
Sharifah	ಶರೀಫಾ
Mandir	ಮಂದಿರ್
Kato	ಕಾಟೋ
Coral	ಕೋರಲ್
Guilford	ಗಿಲ್ಫೋರ್ಡ್
Apurv	ಅಪೂರ್ವ
Abdul	ಅಬ್ದುಲ್
hadi	ಹದೀ
Sinharaja	ಸಿನ್ಹರಾಜಾ
Forest	ಫಾರೆಸ್ಟ್
Reserve	ರಿಸರ್ವ್
Nordea	ನಾರ್ಡಿಯಾ
Bank	ಬ್ಯಾಂಕ್
Naya	ನಯಾ
Ghar	ಘರ್
Nateeja	ನತೀಜಾ
Bakhtiyarpur	ಬಕ್ತಿಯಾರ್‌ಪುರ್
Junction	ಜಂಕ್ಷನ್
Novamerican	ನೋವಾಮೆರಿಕನ್
Steel	ಸ್ಟೀಲ್
Valerian	ವೆಲೆರಿಯನ್
Suparnak	ಸುಪರ್ಣಕ್
Rituparan	ಋತುಪರ್ಣ
Bossa	ಬುಸ್ಸಾ
nova	ನೋವಾ
Numa	ನುಮಾ
Sall	ಸಲ್ಲ್
Aberdeen	ಅಬರ್ಡೀನ್
Apaanpati	ಅಪಾನ್‌ಪತಿ
Kelavarapalli	ಕೆಲಾವರಪಲ್ಲಿ
Reservoir	ರಿಜರ್ವಾಯರ್
Sai	ಸಾಯಿ
Baba	ಬಾಬಾ
of	ಆಫ್
Shirdi	ಶಿರ್ಡಿ
Jhansi	ಝಾಂನ್ಸಿ
Ki	ಕಿ
Rani	ರಾಣಿ
Oswald	ಆಸ್ವರ್ಡ್
Veblen	ವೆಬ್ಲನ್
Prize	ಪ್ರೈಜ್
in	ಇನ್
Geometry	ಜಾಮಿಟ್ರಿ
Bahiru	ಬಹಿರೂ
Idd	ಈದ್
Mubarak	ಮುಬಾರಕ್
Saeed	ಸಯೀದ್
Anwar	ಅನ್ವರ್
Achinty	ಅಚಿಂತ್ಯ
Kahani	ಕಹಾನಿ
Hum	ಹಮ್
Sab	ಸಬ್
Ki	ಕಿ
Meadow	ಮೀಡೊ
Gulzarbagh	ಗುಲ್ಜಾರ್‌ಬಾಗ್
Ian	ಇಯಾನ್
Bishop	ಬಿಷಪ್
Hambada	ಹಂಬಡಾ
Glatton	ಗ್ಲಾಟನ್
Ishq	ಇಶ್ಕ್
Ishq	ಇಶ್ಕ್
Ishq	ಇಶ್ಕ್
Schiller	ಸ್ಕಿಲ್ಲರ್
Prize	ಪ್ರೈಜ್
Pragati	ಪ್ರಗತಿ
Sidath	ಸಿದಾತ್
Wettimuny	ವೆಟ್ಟಿಮುನಿ
Arivumani	ಅರಿವುಮಣಿ
Lasker	ಲಾಸ್ಕರ್
Award	ಅವಾರ್ಡ್
Geometric	ಜ್ಯಾಮಿಟ್ರಿಕ್
Software	ಸಾಫ್ಟ್ವೇರ್
Solutions	ಸಲ್ಯೂಷನ್ಸ್
Yogini	ಯೋಗಿನಿ
Cura	ಕ್ಯುರಾ
Wasna	ವಸ್ನಾ
Hafsah	ಹಫ್ಸಾ
Thabit	ಥಾಬಿತ್
Koning	ಕೊನಿಂಗ್
der	ಡೆರ್
Nederlanden	ನೆದರ್‌ಲ್ಯಾಂಡೆನ್
Avishka	ಅವಿಷ್ಕಾ
Gunawardene	ಗುಣವರ್ಧನೆ
Bartaman	ಬರ್ತಮಾನ್
patrika	ಪತ್ರಿಕಾ
Taank	ಟಾಂಕ್
Aamer	ಆಮಿರ್
Sohail	ಸೊಹೈಲ್
Juaari	ಜುವಾರಿ
Moira	ಮೋಯಿರಾ
Abdul	ಅಬ್ದುಲ್
adheem	ಅಧೀಮ್
Borkar	ಬೋರಕರ್
Patthar	ಪತ್ಧರ್
Ka	ಕಾ
Khwab	ಖ್ವಾಬ್
Chhina	ಛಿನಾ
Jung	ಜಂಗ್
Bahadur	ಬಹಾದುರ್
Fort	ಫೋರ್ಟ್
independence	ಇಂಡಿಪೆಂಡೆನ್ಸ್
Chand	ಚಂದ್
Ki	ಕಿ
Duniya	ದುನಿಯಾ
Bir	ಬರ್
Protik	ಪ್ರೊಟಿಕ್
Bombay	ಬಾಂಬೆ
Race	ರೇಸ್
Course	ಕೋರ್ಸ್
Raseem	ರಸೀಂ
Ladies	ಲೇಡೀಸ್
Tailor	ಟೇಲರ್
Avariella	ಅವರಿಯೆಲಾ
Iago	ಇಯಾಗೋ
Stirling	ಸ್ಟಿರ್ಲಿಂಗ್
Prize	ಪ್ರೈಜ್
Mula	ಮುಲಾ
Prawara	ಪ್ರವರ
Bharath	ಭಾರತ್
Reddy	ರೆಡ್ಡಿ
Wilson	ವಿಲ್ಸನ್
Rawlins	ರಾಲಿನ್ಸ್
Ardh	ಅರ್ಧ್
Satya	ಸತ್ಯ
Afroze	ಅಫ್ರೋಜ್
Iqbal	ಇಕ್ಬಾಲ್
Sikander	ಸಿಕಂದರ್
Pratibha	ಪ್ರತಿಭಾ
Raghubir	ರಘುಬಿರ್
Somakant	ಸೋಮಕಾಂತ್
Laasya	ಲಾಸ್ಯ
Balaraaj	ಬಾಲರಾಜ್
Alpine	ಅಲ್ಪೈನ್
Skiing	ಸ್ಕೀಯಿಂಗ್
World	ವರ್ಲ್ಡ್
Cup	ಕಪ್
Bhutto	ಭುಟ್ಟೊ
Dhruva	ಧೃವಾ
Navratri	ನವರಾತ್ರಿ
Steve	ಸ್ಟೀವ್
Waugh	ಕ್ಲಾರ್ಕ್
Brahma	ಬ್ರಹ್ಮ
Amanjeet	ಅಮನ್‌ಜೀತ್
Shivapriyaa	ಶಿವಪ್ರಿಯ
Gaurinath	ಗೌರೀನಾಥ್
kullu	ಕುಲ್ಲು
Mohammad	ಮೊಹ್ಮದ್
Kaif	ಕೈಫ್
Qatl	ಕತ್ಲ್
Raibareli	ರಾಯ್ ಬರೇಲಿ
Prem	ಪ್ರೇಮ್
Sandesh	ಸಂದೇಶ್
Manjural	ಮಂಜುರಲ್
Islam	ಇಸ್ಲಾಂ
Rana	ರಾಣಾ
Country	ಕಂಟ್ರಿ
western	ವೆಸ್ಟ್ರನ್
two-step	ಟೂ-ಸ್ಟೆಪ್
Shahdol	ಶಾದೂಲ್
Rivaaj	ರಿವಾಜ್
Wamil	ವಾಮಿಲ್
Sudeepta	ಸುದೀಪ್ತ
Sesa	ಸೀಸಾ
Goa	ಗೋವಾ
Ian	ಇಯಾನ್
Daniel	ಡೇನಿಯಲ್
National	ನ್ಯಾಶನಲ್
Art	ಆರ್ಟ್
Gallery	ಗ್ಯಾಲರಿ
and	ಅಂಡ್
Alexandros	ಅಲೆಕ್ಸಾಂಡ್ರೋಸ್
Soutzos	ಸುಝಾಸ್
Museum	ಮ್ಯೂಸಿಯಂ
Agent	ಏಜೆಂಟ್
Vinod	ವಿನೋದ್
Gidang	ಗಿದಂಗ್
Museum	ಮ್ಯೂಸಿಯಂ
Ek	ಏಕ್
Masoom	ಮಾಸೂಮ್
Loharganj	ಲೋಹರಗಂಜ್
Mark	ಮಾರ್ಕ್
Bailey	ಬೈಲೀ
Gulf	ಗಲ್ಫ್
Oil	ಆಯಿಲ್
Minsk	ಮಿನ್ಸ್‌ಕ್
Hamari	ಹಮಾರಿ
Duniya	ದುನಿಯಾ
Yala	ಯಾಲಾ
New	ನ್ಯೂ
Springs	ಸ್ಪ್ರಿಂಗ್ಸ್
Christian	ಕ್ರಿಶ್ಚಿಯನ್
Adair	ಅಡೈರ್
Morpheus	ಮಾರ್ಫೆಅಸ್
Kael	ಕೇಲ್
Fort	ಫೋರ್ಟ್
meigs	ಮಿಗ್ಸ್
The	ದಿ
Broads	ಬ್ರಾಡ್ಸ್
Priestley	ಪ್ರಿಸ್ಟ್ಲೇ
Medal	ಮೆಡಲ್
Charles	ಚಾರ್ಲ್ಸ್
Lamb	ಲ್ಯಾಂಬ್
Delhi	ದೆಲ್ಲಿ
Junction	ಜಂಕ್ಷನ್
Door	ದೂರ್
Gagan	ಗಗನ್
Ki	ಕೀ
Chhaon	ಛಾವ
Mein	ಮೇ
Christ	ಕ್ರಿಸ್ಟ್
the	ದ
King	ಕಿಂಗ್
Lutheran	ಲುಥೆರಾನ್
Aur	ಔರ್
Pyar	ಪ್ಯಾರ್
Ho	ಹೋ
Gaya	ಗಯಾ
Jacksonville	ಜಾಕ್ಸನ್ ವಿಲ್ಲೆ
Baaz	ಬಾಝ್
Bahadur	ಬಹಾದೂರ್
Alamatti	ಆಲಮಟ್ಟಿ
Dam	ಡ್ಯಾಮ್
Humayrah	ಹುಮೇರಾ
Rokeby	ರೋಕಬಾಯ್
Museum	ಮ್ಯೂಸಿಯಂ
Anoop	ಅನೂಪ್
Anwesha	ಅನ್ವೇಷ
Grimme	ಗ್ರಿಮ್ಮಿ
Preis	ಫ್ರೀಸ್
Wahid	ವಹಿದ್
Bahlul	ಬಾಹ್ಲಲ್
Ghulam	ಗುಲಾಂ
Ali	ಅಲಿ
Sushamaa	ಸುಶಮಾ
Sri	ಶ್ರೀ
Thendayuthapani	ದಂಡಾಯುಧಪಾಣಿ
Tim	ಟಿಮ್
Allan	ಅಲನ್
Order	ಆರ್ಡರ್
of	ಆಫ್
the	ದ
Red	ರೆಡ್
Banner	ಬ್ಯಾನರ್
Cents	ಸೆಂಟ್ಸ್
Sara	ಸರಾ
Mushfiq	ಮುಷ್ಫಿಕ್
Conan	ಕೋನಾನ್
Sawa	ಸಾವಾ
Abdul	ಅಬ್ದುಲ್
muid	ಮುಯೀದ್
Troy	ಟ್ರೋಯ್
Angela	ಏಂಜೆಲಾ
Satvat	ಸತ್ವತ್
Bahlol	ಬಹಲೋಲ್
Kanhere	ಕಾನ್ಹೇರೆ
Dumariya	ದುಮಾರಿಯಾ
Yavanikaa	ಯವನಿಕಾ
Kingston	ಕಿಂಗ್‌ಸ್ಟನ್
University	ಯುನಿವರ್ಸಿಟಿ
Maulavee	ಮೌಲ್ವೀ
Jadzia	ಜಾಡ್ಜಿಯಾ
Rianna	ರಿಯಾನ್ನಾ
Farica	ಫ್ಯಾರಿಕಾ
Wafadaar	ವಫಾದಾರ್
Dominic	ಡಾಮಿನಿಕ್
Cork	ಕೋರ್ಕ್
Nyika	ನೀಕಾ
Plateau	ಪ್ಲ್ಯಾಟೊ
Virata	ವಿರಾಟ
Ashwinee	ಅಶ್ವಿನೀ
Bensonvale	ಬೆನ್ಸೋನ್ವಾಲೆ
Covenant	ಕೊವೆನೆಂಟ್
Sarala	ಸರಳಾ
Jhanak	ಝನಕ್
Jhanak	ಝನಕ್
Payal	ಪಾಯಲ್
Baje	ಬಜೆ
Chata	ಚಾತಾ
Amulya	ಅಮೂಲ್ಯ
Meri	ಮೇರಿ
Surat	ಸೂರತ್
Teri	ತೇರಿ
Ankhen	ಆಂಖೇ
Fiachra	ಫಿಯಾಚ್ರಾ
Grah	ಗೃಹ
Pravesh	ಪ್ರವೇಶ್
Gode	ಗೋಡೆ
Ardelis	ಆರ್ಡೆಲಿಸ್
Mainak	ಮೈನಕ್
Egypt	ಈಜಿಪ್ಟ್
Taha	ತಾಹಾ
Krishnamurari	ಕೃಷ್ಣಮುರಾರಿ
Ashtputre	ಅಷ್ಟಪುತ್ರೆ
Nadeem	ನದೀಂ
Ghauri	ಘೋರಿ
Mohul	ಮೊಹುಲ್
Winslow	ವಿನ್‌ಸ್ಲೋ
Ijaazat	ಇಜಾಜತ್
Encana	ಎಂಕಾನಾ
Arakku	ಅರಾಕು
Alfred	ಆಲ್‌ಫ್ರೆಡ್
Tennison	ಟೆನಿಸನ್
Dhanya	ಧನ್ಯಾ
Alayna	ಅಲೇನಾ
Ulla	ಉಲ್ಲಾ
Ulka	ಉಲ್ಕಾ
War	ವಾರ್
of	ಆಫ್
the	ದಿ
First	ಫರ್ಸ್ಟ
Coalition	ಕೋಯಲಿಶನ್
Khul	ಖುಲ್
Ja	ಜಾ
Sim	ಸಿಮ್
Sim	ಸಿಮ್
Richa	ರಿಚಾ
Kaumajet	ಕೌಮಾಜೆಟ್
Jeeva	ಜೀವಾ
Brian	ಬ್ರಿಯಾನ್
Bijuri	ಬಿಜುರೀ
Kishanganj	ಕಿಶನ್ ಗಂಜ್
Badshah	ಬಾದಶಾಹ್
Salamat	ಸಲಾಮತ್
Pope	ಪೋಪ್
Paul	ಪೌಲ್
Dakhineswar	ದಕ್ಷಿಣೇಶ್ವರ್
Radiology	ರೇಡಿಯಾಲಜಿ
Vandanamaalaa	ವಂದನಮಾಲಾ
Russell	ರಸೆಲ್
Krovi	ಕ್ರೋವಿ
Geoff	ಜೆಫ್
Howarth	ಹೋವರ್ತ್
Izz	ಇಜ್ಜ್
Krishna ji	ಕೃಷ್ಣಾಜಿ
Aru	ಅರು
Fort	ಫೋರ್ಟ್
point	ಪಾಯಿಂಟ್
Jeevan	ಜೀವನ್
Sathi	ಸಾಥಿ
Embourg	ಎಂಬರ್ಗ್
Furqan	ಫುರ್ಖಾನ್
Escorts	ಎಸ್‌ಕಾರ್ಟ್ಸ್
Arbon	ಅರ್ಬನ್
Munzir	ಮುಂಜಿರ್
Carl	ಕಾರ್ಲ್
Shagird	ಶಾಗಿರ್ದ್
Shendaye	ಶೆಂಡಯೆ
Chitrasen	ಚಿತ್ರಸೇನ್
Sanghi	ಸಾಂಘೀ
Wajih	ವಜೀಹ್
Hafizur	ಹಫಿಝುರ್
Rahman	ರಹಮಾನ್
Air	ಏರ್
Mail	ಮೇಲ್
Leuseur	ಲುಸೇರ್
Afasana	ಅಫಸಾನಾ
Jean	ಜೀನ್
Bart	ಬಾರ್ಟ್
Sharvari	ಶರ್ವತಿ
Avaneendra	ಅವನೀಂದ್ರ
