Hajgiri	हजगिरी
Aglaia	एग्लेइया
Shapath	शपथ
Keely	कीली
Anuraag	अनुराग
Biniou	बिनिउ
Kameshwar	कामेश्वर
Rajnigandha	रजनीगंधा
Tirukkannankudi	तिरुक्कन्नानकुडी
Meadow	मीडो
Karlyn	कैर्लिन
Sooryapriyaa	सूर्यप्रिया
Yogeshvaree	योगेश्वरी
Sanghol	संघोल
Hani	हनी
Dudley	डुडली
Amuly	अमूल्य
Candida	कैंडिडा
Kavi	कवि
Bhangra	भाँगड़ा
Bharati	भारती
Archon	आर्कन
Matilde	मटिल्डे
Kargam	कर्गम
Quddusiyyah	कुद्दुसियाह
Shaheen	शाहीन
Ravij	रविज
Shaheed	शहीद
Dayita	दयिता
Andreas	आंद्रियास
Thallium	थैलियम
Ghosipura	घोसीपुरा
Vajhe	वझे
Brucklay	ब्रुक्ले
Mujaffarpur	मुज़फ़्फ़रपुर
Bhojpur	भोजपुर
Bangarapet	बंगरापेट
Atreya	अत्रेया
Wajihah	वजीहाह
Karah	कैराह
Chakrapani	चक्रपाणि
Juliet	जूलिएट
Asahi	असाही
Uranus	यूरेनस
Winifred	विनिफ्रेड
Zona	ज़ोना
Garcha	गरचा
Baare	बारे
Vilmos	विल्मोस
Vandan	वंदन
Mayoorashikhaa	मयूरशिखा
Chopan	चोपन
Burren	बरेन
Bajwa	बाजवा
Rupesh	रूपेश
Amalesh	अमलेश
Barasat	बारासात
Rajdrohi	राजद्रोही
Khurana	खुराना
Bridgestone	ब्रिजस्टोन
Ibrahim	इब्रहीम
Shikwa	शिकवा
Bhamini	भामिनी
Tarangire	तरांजिरे
Vivekaa	विवेका
Khawlah	खवलाह
Rochak	रोचक
Jahan aara	जहाँआरा
Dandiya	डांडिया
Mahavira	महावीर
Jaideep	जयदीप
Shekhar	शेखर
Guaracha	गुआराचा
Loharganj	लोहारगंज
Quintin	कुइंतिन
Jalsa	जलसा
Umeshwar	उमेश्वर
Altaaf	अल्ताफ
Kelli	केली
Arpana	अर्पणा
Budalur	बुदालुर
Sirsa	सिरसा
Sulwyn	सुल्विन
Hubaab	हुबाब
Mallah	मल्लाह
Dalila	डेलिला
Hoad	होड
Paresh	परेश
Amrit	अमृत
Agniprav	अग्निप्रव
Pavamaan	पवमान
Perdy	पर्डी
El-arabia	अल-अरेबिया
Kddi	कड्डी
Nivedita	निवेदिता
Ourra-tul-'ain	औरा-तुल-ऐन
Schwaben	स्वाबेन
Mauro	मौरो
Mriganayani	मृगनयनी
Cyprus	सायप्रस
Chawapall	चवापल
Fulki	फुलकी
Cher	चेर
Siyang	सियांग
Janelle	जैनेल
Mrinal	मृणाल
Babhnan	बाभनन
Soma	सोमा
Bahubali	बाहुबली
Chile	चिली
Sinai	सिनाई
Bhimashankar	भीमाशंकर
Ratnali	रत्नाली
Zafeerah	ज़फीराह
Damodar	दामोदर
Banner	बैनर
Edaline	एडलिन
Nawal	नवल
Chiplunkar	चिपलूणकर
Kaamna	कामना
Sulayk	सुलेक
Athabasca	अथाबास्का
Moscow	मॉस्को
Kroger	क्रोजेर
Mahijuba	महिजुबा
Anurodh	अनुरोध
Gautami	गौतमी
Kiyedh	कियेध
Ayushmaan	आयुष्मान
Amala	आमला
Kolthekar	कोलथेकर
Satyajit	सत्यजित
Samarth	समर्थ
Eunice	यूनिस
Sanjula	संजुला
Hotel	होटल
Ayodhyapati	अयोध्यापती
Bandhu	बंधु
Tosa	टोसा
Diphu	दिपु
Zeenat	ज़ीनत
GAIL	गेल
Sirohi	सिरोही
Hasmukh	हसमुख
Seemeen	सीमीन
BiJunctionor	बाइजंक्शनर
Fadi	फैदी
Bhabhar	भाभर
Questa	क्वेस्टा
Thyssenkrupp	थाइसेनकृप 
Barnagar	बारनगर
Pierrette	पिएरेटे
Netherlands	नीदरलैंड्‍स
Deepabali	दीपाबाली
Aarambh	आरंभ
Abaraar	अबरार
Aakaankshaa	आकांक्षा
Iali	इआली
Veerbhum	वीरभूम
Mukutadhar	मुकुटधर
Shahjehan	शाहजहाँ
Sampatti	सम्पत्ति
Simrit	सिमरित
Jaggi	जग्गी
Tanith	टेनिथ
Mitten	मिट्टन
Manager	मैनेजर
Satyanarayan	सत्यनारायण
Maputo	मेपटो
Raajakunvaree	राजकुंवरी
Bond	बॉन्ड
Clutterbuckganj	क्लटरबकगंज
Daurala	दौराला
Ghusun	ग़ुसन
Fateh	फतेह
Kota	कोटा
Tarulata	तरुलता
Pareeksha	परीक्षा
Aatik	आतिक
Conroy	कौनराय
Mawahib	मवाहिब
Junius	जूनियस
Ashirwad	आशीर्वाद
Troposphere	ट्रोपोस्फीयर
Bleach	ब्लीच
Mawaali	मवाली
Gwenllian	ग्वेनलियन
Penganga	पेनगंगा
Taaraa	तारा
Chelsea	चेल्सिया
Alamnagar	आलमनगर
Tiara	टियारा
Lovie	लोवी
Nongkrem	नॉन्गक्रेम
Pathak	पाठक
Baalachandra	बालचंद्र
Oberth	ऑबर्थ
Gold	गोल्ड
Parvarish	परवरिश
Fayruz	फैरुज़
Ratnaparkhi	रत्नपारखी
Tickner	टिक्नर
Hameed	हमीद
Amritkala	अमृतकला
Wellington	वेलिंग्टन
Supaul	सुपौल
Begham	बेग़म
Sahnewal	साहनेवाल
Simmons	सिमंस
Hindi	हिन्दी
Tommy	टॉमी
Omprakash	ओमप्रकाश
Indrayani	इंद्रायणी
Iffah	इफ्फह
Chittaswarup	चित्तस्वरूप
Ranjana	रंजना
Raghav	राघव
Nityagopal	नित्यगोपाल
Abhinath	अभिनाथ
Lokapaal	लोकपाल
Gajraj	गजराज
Vaaridhi	वारिधि
Nova	नोवा
Nadan	नादां
Ojas	ओजस
Brian	ब्रायन
Haboos	हबूस
Salila	सलिला
Nola	नोला
Yameen	यमीन
Volga	वोल्गा
Sareen	सरीन
Conner	कोनर
Karamgati	करमगति
Louie	लुई
Jogeeshvar	जोगीश्वर
Vasant	वसंत
Nayan	नयन
Nayak	नायक
Mamata	ममता
Rasikaa	रसिका
Aslana	अस्लाना
Kajwadkar	कजवाड़कर
Amartya	अमर्त्य
Azeemah	अज़ीमाह
Pramod	प्रमोद
Birambad	बिरामबाद
Cricketer	क्रिकेटर
Honeywell	हनीवेल
Angelica	एंजेलिका
Morocco	मोरक्को
Roffe	रॉफिल
Humber	हंबर
Nagar	नागर
Ardara	एर्डरा
Malli	मल्ली
Melvina	मेल्विना
Fakhtah	फख्ताह
Rafe	रैफ
Sabeeh	सबीह
Shelling	शैलिंग
Philomena	फिलोमेना
Bageshwar	वागेश्वर
Sitar	सितार
Mona	मोना
Callaway	कैलावे
Savage	सैवेज
Gadgil	गाडगिल
Nasia	नासिया
Bairaag	बैराग
Nasik	नासिक
Yadu	यदु
Dard-E-Dil	दर्द-ए-दिल
Mahaabodhi	महाबोधि
Chhabili	छबीली
Hawalat	हवालात
Pushkal	पुष्कल
Khalda	खालड़ा
Damurah	दमुराह
Ramdoot	रामदूत
Bighorn	बिगहॉर्न
Lawson	लॉसन
Skirrow	स्किरॉ
Najla	नजला
Arivalagan	अरिवलगन
Raghuraaee	रघुराई
Lowri	लोरी
Boliviano	बोलिवियानो
Freestone	फ्रीस्टोन
Mahaaraajaa	महाराजा
Bhagtanwala	भगतनवाला
Buddhdev	बुद्धदेव
Agra	आगरा
Sucharita	सुचरिता
Zahringen	ज़हरिंगन
Kiley	किले
Ally	एली
Gualtier	गॉल्टियर
Neelkanta	नीलकांता
Bhilai	भिलाई
Raunak	रौनक
Shatrughn	शत्रुघ्न
Bargadi	बरगाड़ी
Ratu	ऋतु
Aabid	आबिद
Cybill	सायबिल
Yamamah	यमामाह
Jaan-E-Wafa	जान-ए-वफा
Vinya	विनया
Aloarakh	अलौरख
Malhar	मल्हार
Naseer	नसीर
Aravankadu	अरावांकडु
Sundarbans	सुंदरबन्स
Aparnaa	अपर्णा
Connecticut	कनेक्टीकट
Prudence	प्रुडेंस
Bhagyaraj	भाग्यराज
Kate	केट
Dindori	डिण्डोरी
Edmund	एडमंड
Niagara	नायग्रा
Talib	तालिब
Gareth	गैरेथ
Sula	सुला
Mauna Loa	मौनालोआ
Siwar	सिवार
Siwan	सीवान
Camilla	कैमिला
Chate	चाटे
Janda	जांदा
Phyllis	फिलिस
Shailen_dr	शैलेन्द्र
Mahalakshmi	महालक्ष्मी
Ranade	रानाडे
Jeri	जेरी
Aarati	आरती
Mubin	मुबीन
Zakirah	ज़कीराह
Aasami	असमी
Elkhorn	एल्कहॉर्न
Chaitan	चैतन
Aitbaar	एतबार
Shalabh	शलभ
Minjonet	मिंजोनेट
Narayana	नारायण
Nutzotin	नुटज़ोटिन
Lapalikar	लपालीकर
Masada	मसाडा
Vasu	वसु
Manindra	मणिंद्र
Ratnajyouti	रत्नज्योति
Archanaa	अर्चना
Kathirah	कथिराह
Aadishvar	आदिश्वर
Akshay	अक्षय
Menard	मेनार्ड
Alice	एलिस
Koro	कोरो
Abhihit	अभिहित
Barrow	बैरॉ
Ilaaka	इलाका
Danniell	डेनियल
Nazih	नज़ीह
Sagina	सगीना
Fillmore	फिल्मोर
Jamshedpur	जमशेदपुर
Jogging	जॉगिंग
Lake	लेक
Shikhar	शिखर
Ameya	अमेय
Honey	हनी
Ray	रे
Maawi	मावी
Dayamayee	दयामयी
Bekrar	बेकरार
Butari	बुटारी
Akshaya	अक्षया
Ansar	अंसार
Pragun	प्रगुन
Gyaaniji	ज्ञानीजी
Indefatigable	इंडिफेटिजेबल
Antah	अंता
Mehboobnagar	महबूबनगर
Anilatmaj	अनिलात्मज
Ganapati	गणपति
Fattah	फतह
Jadu	जादू
Churk	चर्क
Tekla	टेक्ला
Verrazano-Narrows	वेराज़नो नॅरोज़
Manamaujee	मनमौजी
Svarnim	स्वर्णिम
Ferok	फेरोक
Pathanamthitta	पथानामथीट्‍टा
Daata	दाता
Balraaj	बलराज
Kalyani	कल्याणी
Tallis	टेलिस
Petronas	पेट्रोनस
Goa	गोवा
Pentasoft	पेंटासॉफ़्ट
Republique	रिपब्लिक
Akhila	अखिला
Nazeer	नज़ीर
Shabbeer	शब्बीर
Traci	ट्रेसी
Harvy	हार्वी
Mathura	मथुरा
Boxing	बॉक्सिंग
Yaagyik	याज्ञिक
Allemande	एलेमैंड
Ceri	सेरी
Halwani	हलवानी
Chitrarath	चित्ररथ
Pranav	प्रणव
Kirayedar	किराएदार
Anwar	अनवर
Dingwahi	दिंगवाही
Wrestling	रेस्लिंग
Badshah	बादशाह
Fahmida	फहमीदा
Choudhary	चौधरी
Bhalwan	भल्वान
Homer	होमर
Sunandini	सुनन्दिनी
Aradhana	आराधना
Myrilla	मायरिला
Kopargaonkar	कोपरगाँवकर
Ichha	इच्छा
Gallia	गैलिया
Pujit	पुजित
Bansilaal	बंसीलाल
Apache	अपैक
Dianne	डाएन
Wurttemburg	वूटेनबर्ग
Amarashree	अमराश्री
Kuvaleshay	कुवलेशय
Bissau	बिसौ
Dougal	डॉगल
Gotegaon	गोटेगांव
Puja	पूजा
Girik	गिरिक
Amaryllis	एमेरीलिस
Pahwa	पहवा
Dawood	दावूद
Cricket	क्रिकेट
Keelty	कील्टी
Kanchana	कंचना
Phiroza	फिरोज़ा
Rasheed	रशीद
Vaasavey	वासवेय
Chandrakin	चंद्रकिन
Karstadtquelle	कर्सटडक्वैले
Ghorpuri	घोरपुरी
Sonya	सोनिया
Washington	वॉशिंगटन
Ankai	अंकाई
Peetaabh	पीताभ
Jaclyn	जैकलिन
Satija	सतीजा
Balaaji	बालाजी
Ruma	रूमा
Paula	पौला
Raeanne	रेनी
Ferris	फेरिस
Punia	पूनिया
Bahu	बहू
Atman	आत्मन
Sudeep	सुदीप
Bandana	बन्दना
Peelaa	पीला
Haseena	हसीना
Bannerghatta	बानेरघटटा
Manmohan	मनमोहन
Mckesson	मैकेज़न
Zindagani	ज़िंदगानी
Dreadnought	ड्रेडनॉट
Manu	मनु
Magana	मगना
Oceana	ओशिएना
Koyel	कोयल
Emberlynn	एम्बरलीन
Jagadip	जगदिप
Rakesh	राकेश
Jajj	जज्ज
Mateenadaas	मतीनदास
Faustus	फॉस्टस
Sharaabi	शराबी
Dharmabad	धर्माबाद
Rahila	रहीला
Sudhaakar	सुधाकर
Glaxosmithkline	गलैक्सोस्मिथक्लाइन
Lethia	लेथिया
Hanifaah	हनीफाह
Nripesh	नृपेश
Akalmand	अकलमंद
Cura	क्युरा
Nao	नाव
Ellen	एलेन
Colum	कोलमैन
Bepanah	बेपनाह
Rijuta	ऋजुता
Ahamad	अहमद
Dujanah	दुजनाह
Rachna	रचना
Sheremetyevo	शेर्मटयेवो
Yusra	युस्रा
Mudra	मुद्रा
Kalindi	कालिन्दी
Alisha	अलिशा
Osaka	ओसाका
Anbar	अनबर
Akhtiyar	अख्तियार
Malaga	मलागा
Huma	हुमा
Madurai	मदुरै
Myron	मायरॉन
Bhagwanpur	भगवानपुर
Dauphin	डॉपिन
Dharamdeep	धरमदीप
Riyal	रियाल
Bhonsle	भोसले
Atmanand	आत्मानंद
Annigeri	अन्नीगेरी
Sparviero	स्पारविएरो
Dharmpal	धर्मपाल
Mahaavat	महावत
Muzzammil	मुज़्ज़म्मिल
Stu	स्टू
Ghunayn	गुनायन
Manana	मनना
Afsana	अफसाना
Ramesh	रमेश
Basbas	बसबस
Raamasakhaa	रामसखा
Cheri	चेरी
Alima	अलीमा
Vidya	विद्या
Balaghat	बालाघाट
Kaleem	कलीम
Eydie	ईदी
Advaakee	अद्‍वाकी
Alpha	अल्फा
Rajnandgaon	राजनन्दगाँव
Vishvaamitr	विश्वामित्र
Jouhikko	जोहिक्को
Lokadi	लोकादि
Dahshat	दहशत
Balj	बल्ज
Catskill	कैस्किल
Obalesh	ओबलेश
One-step	वन-स्टेप
Singla	सिंगला
Fuad	फॉड
Mandir	मंदिर
Coral	कोरल
Kayo	कायो
Chirag	चिराग
Saathe	साठे
Laboni	लबोनि
Howe	हॉवे
Grimes	ग्रिम्स
Nateeja	नतीजा
Musharraf	मुशर्रफ
Valerian	वेलेरियन
Suparnak	सुपर्णक
Prajit	प्रजित
Numa	नुमा
Poornayogee	पूर्णयोगी
Sall	सल्ल
Putli	पुतली
Dharmadas	धर्मदास
Aag	आग
Belsiri	बलसीरी
Preeti	प्रीति
Achinty	अचिंत्य
Hambada	हंबड़ा
Chhansara	छंसारा
Fatima	फातिमा
Mandla	मण्डला
Yogini	योगिनी
Hafsah	हफ्साह
Maltese	मैटलीज
Cuba	क्यूबा
Gadulka	गडुल्का
Damayanti	दमयंती
Bura	बूरा
Moira	मोइरा
Jerauld	जेरोल्ड
Jerrell	जेरेल
Nikunja	निकुंजा
Anurag	अनुराग
Farhanah	फरहानाह
Kishore	किशोर
Glorious	ग्लोरियस
Rawdah	रौदाह
Avarielle	एवरिएल
Tariq	तारि़क
Avariella	एवरीएला
Vengeance	वेंजिआंस
Metallophone	मेटैलोफोन
Vail	वाइल
Barkandi	बरकंदी
Celestine	सेलेस्टीन
Saranga	सारंग
Vilasini	विलासिनी
Raghubir	रघुबीर
Chandraleksha	चंद्रलेक्षा
Bhutto	भुट्टो
Ahlaadit	आह्लादित
Andralyn	एण्ड्रेलिन
Brahma	ब्रह्मा
Guma	गुमा
Madonna	मैडोना
Guna	गुना
Charitraheen	चरित्रहीन
Clarissa	क्लेरिसा
Laharen	लहरें
Zampona	ज़ैंपोना
Fausta	फॉस्टा
Wamil	वामिल
Gautamee	गौतमी
Murali	मुरली
Harachand	हरचंद
Shoesmith	शूस्मिथ
Sunayani	सुनयनी
Songadra	सोनगद्र
Bikram	बिक्रम
Yala	याला
Veerana	वीराना
Adair	अडायर
Morpheus	मॉर्फिअस
Megha	मेघा
Kail	कैल
Pearlie	पर्ली
Bhudev	भूदेव
Haimvat	हैमवत
Mackinac	मॅकिनॅक
Ita	ईटा
Nadee	नदी
Karmarkar	करमरकर
Manjubala	मंजुबाला
Atyachar	अत्याचार
Anwesha	अन्वेशा
Sana	साना
Wahid	वहीद
Sushamaa	सुषमा
Safa	सफा
Aadityakeshav	आदित्यकेशव
Asasia	असासिया
Narhari	नरहरि
Mushfiq	मुश्फीक़
Bahilpurwa	बाहिलपुरवा
Sawa	सावा
Aacharynandanaa	आचार्यनंदना
Kumudini	कुमुदिनी
Kanhere	कान्हेरे
Trey	ट्रे
Snowy	स्नोवी
Maulavee	मौलवी
Jadzia	जैडजिया
Farica	फैरिका
Wafadaar	वफ़ादार
Syngenta	सिन्जेंटा
Nairi	नैरी
Lilka	लिल्का
Jahanara	जहानारा
Sarala	सरला
Chata	चाता
Haryana	हरयाणा
Rangle	रैंगल
Amadhya	अमध्य
Gunther	गुंथर
Motocross	मोटोक्रॉस
Bambuca	बैंबूका
Taha	ताहा
Marlis	मार्लिस
Krishnamurari	कृष्णमुरारी
Goetze	गोएट्ज़
Darts	डार्ट्स
Winslow	विनस्लो
Gwalior	ग्वालियर
Meenar	मीनार
Prabuddha	प्रबुद्ध
Tara	टैरा
Maganalaal	मगनलाल
Paachpore	पाँचपोरे
Gopeekrashn	गोपीकृष्ण
Richa	ऋचा
Kaumajet	कोमाजेट
Thauban	थौबान
Ancon	एन्कन
Bijuri	बिजुरी
Dar Es Salaam	दार-ए-सलाम
Dakhineswar	दक्षिनेश्वर
Ajaibpur	अजायबपुर
Ghuzayyah	ग़ुज़य्याह
Tristan	ट्रिस्टन
Dubia	दुबिया
Izz	इज़्ज़
Charmaine	चर्मैने
Taranga	तरंग
Crystal	क्रिस्टल
Hemraj	हेमराज
Furqan	फु़र्कान
Kaustav	कौस्तव
Wajid	वाजिद
Shagird	शागिर्द
Shendaye	शेंडये
Chitrasen	चित्रसेन
Purkar	पूरकर
Shanna	शाना
Osman	उस्मान
Chamagram	चमाग्राम
Wedlock	वेडलॉक
Athiya	अथिया
Chittaprasad	चित्तप्रसाद
Boeing	बोईंग
Karvi	कार्वी
Avantika	अवंतिका
Niyati	नियति
Shamus	शमुस
Barlai	बरलाई
Shivadaan	शिवदान
Bharatmuni	भरतमुनि
Jett	जेट
Raitah	रैताह
Raajiv	राजीव
Verkhoyansk	वेर्खोयांस्क
Parivar	परिवार
Muraaree	मुरारी
Chodiala	चोडियाला
Iki	इकी
Sirius	सिरियस
Paramhansa	परमहंस
Surjewal	सुर्जेवाल
Donakonda	डोनाकोंडा
Appling	एप्लिंग
Kiglapait	किग्लापॅट
Bratindra	ब्रतिंद्र
Wendell	वेंडेल
Laddie	लैडी
Lita	लीटा
Tamilnadu	तमिलनाडू
Tungsten	टंगस्टन
Yudhisthir	युधिष्ठिर
Virgniaud	वर्जिनिऑड
Melva	मेल्वा
Shambhavi	शाम्भवि
Saladin	सलादिन
Yuvati	युवती
Nirvan	निर्वाण
Tamee	तमी
Party	पार्टी
Harindar	हरिन्दर
Salwa	सल्वा
Eta	एटा
Shandaar	शानदार
Darrin	डैरिन
Dahana	दहना
Parth	पार्थ
Manimekhala	मणिमेखला
Walmiki	वाल्मीकि
Khazanchi	खज़ानची
Drake	ड्रैको
Irrisistible	इर्रेरिस्टेबल
Abazila	अबाजिला
Gayatri	गायत्री
Robyn	रॉबिन
Bajva	बाजवा
Husam	हुसम
Golf	गोल्फ
Tucker	टकर
Napa	नैपा
Raichur	रायचूर
Mahasweta	महाश्वेता
Mhatre	म्हात्रे
Patty	पैटी
Prokofiev	प्रोकोफीव
Kavthekar	कवठेकर
Gumla	गुमला
Magoffin	मैगोफिन
Chitrakoot	चित्रकूट
Matlabi	मतलबी
Haragyaan	हरज्ञान
Parama	परमा
Colon	कॉलन
Ikrimah	इकरीमाह
Rianne	रियान्नी
Una	यूना
Sulekha	सुलेखा
Tushaar	तुषार
Progeon	प्रोज़ेन
Cira	सीरा
Farragut	फैरागट
Rais	रईस
Parvatinandan	पार्वतीनन्दन
Nasoor	नासूर
Shad	शाद
Betelsmann	बेटल्समन
Talibah	तालीबाह
Calum	कैलम
Potdar	पोतदार
Fallon	फैलन
Milun	मिलन
Cara	कारा
Solana	सोलेना
Turkana	टुर्काना
Saarth	सार्थ
Dhaura	धौरा
Alba	अल्बा
Alda	एल्दा
Sainath	साईनाथ
Bent	बेंट
Krashnapingaakshan	कृष्णपिंगाक्षं
Ona	ओना
Bata	बाटा
Tacey	टेसी
Nalvadi	नलवाडी
Pawana	पवाना
Gulnar	गुलनार
Abhiraam	अभिराम
Medzhybizh	मेझ्ही‍बिज़
Chittaranjan	चित्तरंजन
Krataaraam	कृताराम
Hindvee	हिंदवी
Volkhovskaya	वोल्खवस्काया
Mala	माला
Taber	ताबेर
Maha	महा
Actress	एक्ट्रेस
Analiese	एनालीज
Shridevi	श्रीदेवी
Daya	दया
North	नॉर्थ
Anitaa	अनिता
Rangoon	रंगून
Raipur	रायपुर
Dada	दादा
Alimaa	अलीमा
Makkhan	मक्खन
Pallav	पल्लव
Melina	मेलिना
Ranajay	रणजय
Sahaja	सहजा
Oslo	ऑस्लो
Bhargava	भार्गव
Anjaan	अंजान
Tregrosse	ट्रेंग्रोसी
Elda	एल्डा
Kailash	कैलाश
Mangalagiri	मंगलगिरी
Philpot	फिल्पोट
Mahamaya	महामाया
Sprague	स्प्रेगुए
Gharana	घराना
Chaman	चमन
Surabhi	सुरभि
Cyclewali	सायकलवाली
Gerald	गेराल्ड
Ghughuli	घुघुली
Aada	आडा
Buzdil	बुज़दिल
Richmond	रिचमंड
Sandhu	संधू
Pujari	पुजारी
Gerard	गेरार्ड
Somdev	सोमदेव
Clive	क्लाइव
Roland	रोलैंड
Bolarum	बोलारम
Jasapaal	जसपाल
Melba	मेल्बा
Ratnangi	रत्नांगी
Beqasoor	बेकसूर
Nagavahan	नगवाहन
Hayagreeva	हयाग्रीव
Chaggan	छगन
Mutasim	मुतासिम
Francois	फ्रेंकोइस
Damaad	दामाद
Vipra	विप्र
Aditynandan	आदित्यनंदन
Flugelhorn	फ्लजेलहॉर्न
Beawar	ब्यावर
Adwaakee	अद्‍वाकी
Subhaashachandr	सुभाषचंद्र
Parolkar	पारोलकर
Aagale	आगले
Angaara	अंगारा
Samara	सामरा
Eisa	ईज़ा
Qareeb	क़रीब
Kartikeya	कर्तिकेय
Kathy	कैथी
Mahindra	महिंद्र
Eara	ईरा
Vishwas	विश्वास
Mahadev	महादेव
Akora	अकोरा
Dhadvaiwale	धडवईवाले
Minhas	मिनहास
Sudipti	सुदीप्ति
Manaavee	मनावी
Sudipta	सुदीप्ता
Ana	एना
Abhimani	अभिमणि
Bottineau	बॉटिन्यू
Barsola	बरसोला
Lakde	लकडे
Wayne	वेन
Dobry	डॉबरी
Bhupinderpal	भूपिंदरपाल
Baxur	बक्सर
Chordophone	कॉरडोफोन
Ecuador	इक्वेडोर
Bahuroop	बहुरूप
Christianity	क्रिश्चियानिटी
Sarra	सारा
Barmer	बारमेर
Gaurish	गौरीश
Newstime	न्यूजटाइम
Vishram	विश्राम
Nuncio	नुंकिओ
Panchkula	पंचकुला
Landler	लैंडर
Balawala	बलावाला
Jabalah	जबालेह
Lynette	लिनेट
Hukumachan_d	हुकुमचन्द
Kuber	कुबेर
Fakeehah	फकीहाह
Tilak	तिलक
Truly	ट्रूली
Brahamdev	ब्रह्मदेव
Ovid	ओविड
Mimis	मिमिस
Malvarkar	मालवरकर
Sophie	सोफी
Leelamayee	लीलमयी
Dewey	डेवे
Girish	गिरीश
Tilottama	तिलोत्तमा
Mahananda	महानंदा
Gidarpindi	गिडरपिंडी
Tuteja	टुटेजा
Argheshwar	अर्घेश्वर
Bhajaraam	भजराम
Ungava	उगावा
Xander	ज़ेंडर
Samran	सामरन
Keshini	केशिणी
Aahlad	आह्लाद
Velankar	वेलणकर
Auzaar	औज़ार
Hammaam	हमाम
Sailing	सेलिंग
Pahu	पाहु
Amriteshvar	अमृतेश्वर
Saumarez	सौमारेज़
Malamkar	मलमकर
Wartsila	वर्टसिला
Adawi	अदावि
Mukand	मुकुंद
Trish	त्रिश
Mihir	मिहिर
Chandranath	चंद्रनाथ
Gazala	गज़ाला
Dhirendra	धीरेंद्र
Kalbi	कल्बि
Ossama	ओसामा
Tulika	तूलिका
Furious	फ्यूरियस
Grishma	ग्रीष्म
Baramua	बारामुआ
Katyayani	कात्यायनी
Agnee	अग्नि
Viresh	विरेश
Ramprasad	रामप्रसाद
Leala	लीला
Girgala	गिरगाला
Abhijat	आभिजात
Octavio	ओक्टाविओ
Seetaasaran	सीतासरन
Chakori	चकोरी
Dharwar	धरवार
Nocil	नॉसिल
Gokhle	गोखले
Pethe	पेठे
Mirzapur	मिर्ज़ापुर
Wratten	रैटन
Kalimantan	कलीमांटन
Arivumadhi	अरिवुमधि
Fineen	फिनीन
Nandurkar	नांदरुकर
Darius	डैरियस
Odelia	ओडेलिआ
Fabienne	फैबिएन
Sadeepan	सदीपन
Viklaant	विक्लांत
Valmai	वल्माई
Boston	बोस्टन
Cajon	कैजन
Namoona	नमूना
Seychelles	सेशेल्स
Khagadia	खगडिया
Pathyaa	पथ्या
Lorena	लोरेना
Qaylah	कयलाह
Arariya	अरारिया
Tawaif	तवायफ
Narapat	नरपत
Anantapur	अन्नतपुर
Rhonda	रोंडा
Cordoba	कॉरडोबा
Inderdeep	इन्दरदीप
Devendra	देवेंद्र
Safwah	सफ्वाह
Kajjali	कज्जलि
Raadheshyaam	राधेश्याम
Italia	इटालिया
Abhinav	अभिनव
Carla	कार्ला
Winfred	विनफ्रेड
Amravati	अमरावती
Weymouth	वेमाउथ
Mariel	मैरिएल
Raamalaal	रामलाल
Kausar	कौसर
Kalka	काल्का
Bhatkhede	भातखंडे
Chaukhandi	चौखंडी
Mahbub	महबूब
Lanbodar	लंबोदर
Fern	फर्न
Sadyojat	सद्योजात
Shachee	शची
Gangakher	गंगाखेर
Zoraster	ज़ोरास्टर
Inayat	इनायत
Begusarai	बेगूसराय
Leatrix	लीट्रिक्स
Atre	अत्रे
Parmameshwar	परमेश्वरि
Deergharaagaa	दीर्घरागा
Barua	बरुआ
Hampton	हैंप्टन
Canoe	कैनो
Abhayaa	अभया
Milonga	मिलोंगा
Maikhana	मैखाना
Garwah	गढ़वा
Prerna	प्रेरणा
Carnig	कार्निग
Vafia	वाफिया
Vishala	विशाला
Linore	लिनोर
Leila	लीला
Chitadhan	चितधन
Kanchanaa	कंचना
Dhanashri	धनश्री
Narendra	नरेंद्र
Danwar	डनवार
Eithne	एथन
Paraguay	पराग्वे
Marengo	मैरेंगो
Buxar	बक्सर
Johannesburg	जोहांसबर्ग
Shart	शर्त
Chakshu	चक्षु
Powerful	पावरफुल
Uzayr	उज़ैर
Tridev	त्रिदेव
Anandee	आनंदी
Maeve	मएवे
Khimsar	खिमसार
Sabiqah	सबि़काह
Rotterdam	रोटर्डम
Alastair	अलस्टेयर
Sambhddha	संबद्ध
Akhil	अखिल
Dixmude	डिक्सम्यूड
Adonis	एडोनिस
Aligarh	अलीगढ़
Dagmagpur	डगमगपुर
Nishani	निशानी
Shrikrishna	श्रीकृष्ण
Warnix	वॉरनिक्स
Arumugan	अरुमुगन
Padmalochana	पद्मलोचना
Vaaman	वामन
Gursimrah	गुरसिमराह
Treva	ट्रेवा
Natasha	नताशा
Lagan	लगन
Sachetan	सचेतन
Garron	गैरन
Axel	एक्सेल
Applebee	एपलबी
Neelambar	नीलाम्बर
Bahjoi	बहजोई
Safeenah	सफीनाह
Hainich	हाइंनीच
Sonipat	सोनीपत
Talika	तालिका
Shaw	शॉ
Malini	मालिनी
Arijit	अरिजित
Chinchpada	चिंचपाड़ा
Afasaanaa	अफसाना
Aafiya	आफिया
Almanij	अल्मनिज
Sangram	संग्राम
Waheed	वहीद
I^jeeniyar	इंजीनियर
Hussain	हुसैन
Gajavaan	गजवान
Gaddar	गद्दार
Vidler	विडलर
Bishakha	बिशाखा
Lepanto	लेपैंटो
